seq,time,time_delta,ch0,ch1,ch2,ch3,ch4,ch5,phasor0,phasor1,phasor2,phasor3,phasor4,phasor5
1079,1728464324753457,842,962,184,2596,1665,26,970,(-109.74293518066406+637.0352783203125j),(-542.6949462890625-442.47235107421875j),(649.4041748046875-236.14524841308594j),(375.8171081542969+254.80784606933594j),(-362.6195983886719+129.90826416015625j),(45.14516830444336-464.59368896484375j)
1080,1728464324754299,842,646,416,2662,1496,1,1216,(-274.422119140625+585.9762573242188j),(-407.3484802246094-567.2297973632812j),(689.32080078125-59.7725944519043j),(295.69390869140625+343.0274353027344j),(-384.7315368652344+31.40241241455078j),(166.95159912109375-436.24822998046875j)
1081,1728464324755141,842,361,710,2662,1266,0,1411,(-419.8322448730469+494.1535339355469j),(-243.27780151367188-652.4255981445312j),(681.70556640625+120.78130340576172j),(193.97882080078125+407.1045837402344j),(-379.7899169921875-69.25423431396484j),(276.5467834472656-377.53692626953125j)
1082,1728464324755983,842,129,1033,2583,1016,5,1573,(-536.2807006835938+367.889404296875j),(-62.385189056396484-692.15673828125j),(626.290771484375+292.85614013671875j),(79.58792114257812+442.7912292480469j),(-348.924560546875-165.19131469726562j),(366.447265625-292.6657409667969j)
1083,1728464324756825,842,0,1357,2460,773,119,1700,(-614.9949951171875+216.07974243164062j),(122.46585083007812-683.7587280273438j),(528.0267944335938+444.67132568359375j),(-40.302574157714844+447.6121520996094j),(-293.1536865234375-249.56893920898438j),(431.197509765625-187.45083618164062j)
1084,1728464324757667,842,64,1649,2009,542,261,1777,(-649.965087890625+49.54457092285156j),(298.32147216796875-627.9441528320312j),(389.9949645996094+564.8564453125j),(-157.556884765625+421.1849365234375j),(-218.00808715820312-316.7878723144531j),(466.18780517578125-69.14874267578125j)
1085,1728464324758510,843,18,1940,1703,377,456,1798,(-643.2169799804688-121.0571517944336j),(454.42327880859375-528.333251953125j),(227.4920654296875+645.73876953125j),(-263.29180908203125+365.49395751953125j),(-126.455810546875-361.8466491699219j),(468.56207275390625+53.962791442871094j)
1086,1728464324759352,842,0,2461,1372,218,657,1771,(-588.7203369140625-283.0747375488281j),(578.418701171875-391.9840087890625j),(48.82776641845703+681.601318359375j),(-351.211181640625+284.2803955078125j),(-26.280548095703125-381.653076171875j),(438.54913330078125+173.37527465820312j)
1087,1728464324760195,843,133,2748,1037,104,863,1660,(-491.69232177734375-424.80908203125j),(664.1469116210938-227.85409545898438j),(-133.3525848388672+669.9138793945312j),(-415.4372253417969+182.99266052246094j),(75.84909057617188-374.79266357421875j),(377.56591796875+280.6597900390625j)
1088,1728464324761039,844,389,2888,648,0,1065,1487,(-363.9432067871094-537.31298828125j),(703.2264404296875-47.46295166015625j),(-308.1114807128906+610.9876708984375j),(-448.52276611328125+69.26663970947266j),(173.08535766601562-341.6358337402344j),(292.5435791015625+368.94720458984375j)
