seq_no=140,	ch0=  78, ch1=1474, ch2= 810, ch3= 308, ch4=1612, ch5= 467, ts=1712137608649477,	delta=849,
seq_no=141,	ch0= 211, ch1=1600, ch2= 578, ch3= 502, ch4=1565, ch5= 299, ts=1712137608650311,	delta=834,
seq_no=142,	ch0= 382, ch1=1579, ch2= 376, ch3= 744, ch4=1546, ch5= 145, ts=1712137608651154,	delta=843,
seq_no=143,	ch0= 576, ch1=1577, ch2= 266, ch3= 960, ch4=1386, ch5=  25, ts=1712137608651998,	delta=844,
seq_no=144,	ch0= 793, ch1=1430, ch2=  42, ch3=1168, ch4=1250, ch5=   0, ts=1712137608652841,	delta=843,
seq_no=145,	ch0= 973, ch1=1383, ch2=   4, ch3=1309, ch4=1017, ch5=   0, ts=1712137608653692,	delta=851,
seq_no=146,	ch0=1207, ch1=1228, ch2=   0, ch3=1504, ch4= 801, ch5=   0, ts=1712137608654524,	delta=832,
seq_no=147,	ch0=1345, ch1= 960, ch2=   0, ch3=1617, ch4= 610, ch5= 126, ts=1712137608655368,	delta=844,
seq_no=148,	ch0=1463, ch1= 746, ch2=  97, ch3=1701, ch4= 440, ch5= 313, ts=1712137608656212,	delta=844,
seq_no=149,	ch0=1531, ch1= 527, ch2= 250, ch3=1730, ch4= 266, ch5= 509, ts=1712137608657054,	delta=842,
seq_no=150,	ch0=1543, ch1= 348, ch2= 448, ch3=1680, ch4= 122, ch5= 726, ts=1712137608657907,	delta=853,
seq_no=151,	ch0=1501, ch1= 165, ch2= 673, ch3=1557, ch4=  13, ch5= 938, ts=1712137608658741,	delta=834,
seq_no=152,	ch0=1405, ch1=  16, ch2= 907, ch3=1364, ch4=   0, ch5=1114, ts=1712137608659580,	delta=839,
seq_no=153,	ch0=1260, ch1=   0, ch2=1137, ch3=1141, ch4=   0, ch5=1280, ts=1712137608660422,	delta=842,
seq_no=154,	ch0=1103, ch1=   0, ch2=1336, ch3= 927, ch4=  21, ch5=1437, ts=1712137608661264,	delta=842,
seq_no=155,	ch0= 881, ch1=   0, ch2=1514, ch3= 705, ch4= 150, ch5=1562, ts=1712137608662114,	delta=850,
