seq=79,	ch0= 632,	ch1= 481,	ch2=   0,	ch3= 157,	ch4= 170,	ch5=   0,	time=1728462578530661,	delta=841,	
seq=80,	ch0= 751,	ch1= 373,	ch2=  45,	ch3= 185,	ch4= 154,	ch5=   0,	time=1728462578531562,	delta=901,	
seq=81,	ch0= 779,	ch1= 251,	ch2= 123,	ch3= 215,	ch4= 122,	ch5=   0,	time=1728462578532403,	delta=841,	
seq=82,	ch0= 784,	ch1= 151,	ch2= 222,	ch3= 242,	ch4=  89,	ch5=   0,	time=1728462578533244,	delta=841,	
seq=83,	ch0= 762,	ch1=  73,	ch2= 320,	ch3= 250,	ch4=  64,	ch5=  23,	time=1728462578534086,	delta=842,	
seq=84,	ch0= 711,	ch1=   1,	ch2= 431,	ch3= 250,	ch4=  37,	ch5=  43,	time=1728462578534928,	delta=842,	
seq=85,	ch0= 653,	ch1=   0,	ch2= 559,	ch3= 245,	ch4=   5,	ch5=  85,	time=1728462578535769,	delta=841,	
seq=86,	ch0= 561,	ch1=   0,	ch2= 649,	ch3= 229,	ch4=   0,	ch5=  93,	time=1728462578536610,	delta=841,	
seq=87,	ch0= 455,	ch1=   0,	ch2= 740,	ch3= 205,	ch4=   0,	ch5= 124,	time=1728462578537451,	delta=841,	
seq=88,	ch0= 338,	ch1=  58,	ch2= 817,	ch3= 194,	ch4=   0,	ch5= 175,	time=1728462578538292,	delta=841,	
seq=89,	ch0= 260,	ch1= 180,	ch2= 834,	ch3= 158,	ch4=   0,	ch5= 180,	time=1728462578539134,	delta=842,	
seq=90,	ch0= 106,	ch1= 133,	ch2= 841,	ch3= 133,	ch4=  41,	ch5= 228,	time=1728462578539975,	delta=841,	
seq=91,	ch0=  64,	ch1= 258,	ch2= 835,	ch3= 106,	ch4=  48,	ch5= 245,	time=1728462578540817,	delta=842,	
seq=92,	ch0=   0,	ch1= 432,	ch2= 765,	ch3=  55,	ch4=  45,	ch5= 261,	time=1728462578541658,	delta=841,	
seq=93,	ch0=   0,	ch1= 550,	ch2= 683,	ch3=  26,	ch4=  77,	ch5= 266,	time=1728462578542499,	delta=841,	
seq=94,	ch0=   0,	ch1= 641,	ch2= 583,	ch3=   0,	ch4= 106,	ch5= 234,	time=1728462578543340,	delta=841,	
seq=95,	ch0=   0,	ch1= 717,	ch2= 471,	ch3=   0,	ch4= 139,	ch5= 212,	time=1728462578544181,	delta=841,	
seq=96,	ch0=  45,	ch1= 776,	ch2= 362,	ch3=   0,	ch4= 153,	ch5= 185,	time=1728462578544981,	delta=800,	
seq=97,	ch0= 101,	ch1= 802,	ch2= 250,	ch3=   0,	ch4= 175,	ch5= 146,	time=1728462578545823,	delta=842,	
seq=98,	ch0= 206,	ch1= 804,	ch2= 153,	ch3=   0,	ch4= 192,	ch5= 106,	time=1728462578546664,	delta=841,	
seq=99,	ch0= 311,	ch1= 781,	ch2=  58,	ch3=  18,	ch4= 207,	ch5=  73,	time=1728462578547506,	delta=842,	
seq=100,	ch0= 420,	ch1= 730,	ch2=  37,	ch3=  55,	ch4= 213,	ch5=  53,	time=1728462578548348,	delta=842,	
seq=101,	ch0= 528,	ch1= 674,	ch2=  43,	ch3=  84,	ch4= 210,	ch5=   5,	time=1728462578549189,	delta=841,	
seq=102,	ch0= 617,	ch1= 548,	ch2=   0,	ch3= 116,	ch4= 178,	ch5=  82,	time=1728462578550030,	delta=841,	
