seq=70,	ch0=1937,	ch1=1604,	ch2=   5,	ch3=  57,	ch4= 437,	ch5= 137,	time=1728464082031480,	delta=842,	
seq=71,	ch0=2351,	ch1=1284,	ch2=  47,	ch3= 116,	ch4= 431,	ch5=  87,	time=1728464082032322,	delta=842,	
seq=72,	ch0=2463,	ch1= 947,	ch2= 241,	ch3= 212,	ch4= 423,	ch5=  33,	time=1728464082033164,	delta=842,	
seq=73,	ch0=2443,	ch1= 613,	ch2= 480,	ch3= 361,	ch4= 398,	ch5=  49,	time=1728464082034006,	delta=842,	
seq=74,	ch0=2446,	ch1= 338,	ch2= 811,	ch3= 401,	ch4= 352,	ch5=  36,	time=1728464082034848,	delta=842,	
seq=75,	ch0=2383,	ch1= 133,	ch2=1167,	ch3= 457,	ch4= 282,	ch5=   0,	time=1728464082035690,	delta=842,	
seq=76,	ch0=2282,	ch1=   0,	ch2=1489,	ch3= 497,	ch4= 219,	ch5=   0,	time=1728464082036532,	delta=842,	
seq=77,	ch0=1812,	ch1=   0,	ch2=1822,	ch3= 509,	ch4= 141,	ch5=  20,	time=1728464082037374,	delta=842,	
seq=78,	ch0=1526,	ch1=   2,	ch2=2112,	ch3= 535,	ch4=  84,	ch5=  69,	time=1728464082038216,	delta=842,	
seq=79,	ch0=1210,	ch1=  50,	ch2=2539,	ch3= 543,	ch4=  47,	ch5= 138,	time=1728464082039058,	delta=842,	
seq=80,	ch0= 888,	ch1= 258,	ch2=2625,	ch3= 530,	ch4=  15,	ch5= 238,	time=1728464082039783,	delta=725,	
seq=81,	ch0= 586,	ch1= 514,	ch2=2669,	ch3= 493,	ch4=   0,	ch5= 311,	time=1728464082040625,	delta=842,	
seq=82,	ch0= 294,	ch1= 814,	ch2=2655,	ch3= 448,	ch4=   0,	ch5= 389,	time=1728464082041467,	delta=842,	
seq=83,	ch0=  77,	ch1=1124,	ch2=2567,	ch3= 380,	ch4=   0,	ch5= 436,	time=1728464082042309,	delta=842,	
seq=84,	ch0=   0,	ch1=1456,	ch2=2422,	ch3= 288,	ch4=   0,	ch5= 489,	time=1728464082043151,	delta=842,	
seq=85,	ch0=   0,	ch1=1800,	ch2=1964,	ch3= 192,	ch4=  21,	ch5= 506,	time=1728464082043992,	delta=841,	
seq=86,	ch0=   0,	ch1=2033,	ch2=1735,	ch3= 128,	ch4=  69,	ch5= 533,	time=1728464082044834,	delta=842,	
seq=87,	ch0=  29,	ch1=2547,	ch2=1392,	ch3=  82,	ch4= 149,	ch5= 549,	time=1728464082045676,	delta=842,	
seq=88,	ch0= 245,	ch1=2822,	ch2= 940,	ch3=  29,	ch4= 204,	ch5= 527,	time=1728464082046518,	delta=842,	
seq=89,	ch0= 498,	ch1=2930,	ch2= 602,	ch3=   2,	ch4= 277,	ch5= 500,	time=1728464082047360,	delta=842,	
seq=90,	ch0= 806,	ch1=2858,	ch2= 309,	ch3=   0,	ch4= 335,	ch5= 440,	time=1728464082048202,	delta=842,	
seq=91,	ch0=1118,	ch1=2611,	ch2=  87,	ch3=   0,	ch4= 362,	ch5= 358,	time=1728464082049044,	delta=842,	
seq=92,	ch0=1431,	ch1=2207,	ch2=  15,	ch3=   0,	ch4= 404,	ch5= 267,	time=1728464082049886,	delta=842,	
seq=93,	ch0=1748,	ch1=1828,	ch2=   0,	ch3=  17,	ch4= 430,	ch5= 186,	time=1728464082050728,	delta=842,	
seq=94,	ch0=1999,	ch1=1524,	ch2=   0,	ch3=  64,	ch4= 435,	ch5= 111,	time=1728464082051570,	delta=842,	
seq=95,	ch0=2411,	ch1=1211,	ch2=  74,	ch3= 139,	ch4= 449,	ch5=  64,	time=1728464082052412,	delta=842,	
seq=96,	ch0=2498,	ch1= 874,	ch2= 289,	ch3= 242,	ch4= 427,	ch5=  25,	time=1728464082053250,	delta=838,	
seq=97,	ch0=2496,	ch1= 642,	ch2= 555,	ch3= 327,	ch4= 398,	ch5=   0,	time=1728464082054092,	delta=842,	
seq=98,	ch0=2504,	ch1= 361,	ch2= 864,	ch3= 412,	ch4= 354,	ch5=   0,	time=1728464082054934,	delta=842,	
seq=99,	ch0=2437,	ch1= 124,	ch2=1202,	ch3= 448,	ch4= 282,	ch5=   0,	time=1728464082055776,	delta=842,	
seq=100,	ch0=2064,	ch1=   5,	ch2=1564,	ch3= 484,	ch4= 199,	ch5=   0,	time=1728464082056617,	delta=841,	
seq=101,	ch0=1747,	ch1=   5,	ch2=1904,	ch3= 519,	ch4= 124,	ch5=  30,	time=1728464082057459,	delta=842,	
seq=102,	ch0=1444,	ch1=   0,	ch2=2162,	ch3= 542,	ch4=  79,	ch5=  85,	time=1728464082058301,	delta=842,	
seq=103,	ch0=1134,	ch1= 101,	ch2=2549,	ch3= 543,	ch4=  39,	ch5= 160,	time=1728464082059142,	delta=841,	
seq=104,	ch0= 817,	ch1= 314,	ch2=2652,	ch3= 514,	ch4=   0,	ch5= 258,	time=1728464082059984,	delta=842,	
seq=105,	ch0= 499,	ch1= 562,	ch2=2671,	ch3= 489,	ch4=  13,	ch5= 320,	time=1728464082060826,	delta=842,	
seq=106,	ch0= 250,	ch1= 869,	ch2=2639,	ch3= 434,	ch4=   0,	ch5= 397,	time=1728464082061668,	delta=842,	
seq=107,	ch0=  46,	ch1=1208,	ch2=2545,	ch3= 352,	ch4=   0,	ch5= 469,	time=1728464082062510,	delta=842,	
seq=108,	ch0=   0,	ch1=1521,	ch2=2182,	ch3= 270,	ch4=   0,	ch5= 491,	time=1728464082063352,	delta=842,	
seq=109,	ch0=   0,	ch1=1796,	ch2=1895,	ch3= 192,	ch4=   0,	ch5= 520,	time=1728464082064194,	delta=842,	
seq=110,	ch0= 119,	ch1=2066,	ch2=1560,	ch3= 133,	ch4=  56,	ch5= 527,	time=1728464082065036,	delta=842,	
seq=111,	ch0= 219,	ch1=2632,	ch2=1230,	ch3=  74,	ch4= 119,	ch5= 542,	time=1728464082065878,	delta=842,	
seq=112,	ch0= 303,	ch1=2875,	ch2= 854,	ch3=  31,	ch4= 224,	ch5= 521,	time=1728464082066727,	delta=849,	
seq=113,	ch0= 576,	ch1=2933,	ch2= 517,	ch3=   0,	ch4= 293,	ch5= 481,	time=1728464082067569,	delta=842,	
seq=114,	ch0= 885,	ch1=2822,	ch2= 245,	ch3=   0,	ch4= 335,	ch5= 420,	time=1728464082068411,	delta=842,	
seq=115,	ch0=1197,	ch1=2544,	ch2=  55,	ch3=   0,	ch4= 378,	ch5= 346,	time=1728464082069253,	delta=842,	
seq=116,	ch0=1516,	ch1=2023,	ch2=   0,	ch3=   0,	ch4= 410,	ch5= 253,	time=1728464082070094,	delta=841,	
seq=117,	ch0=1804,	ch1=1743,	ch2=   5,	ch3=  21,	ch4= 429,	ch5= 171,	time=1728464082070936,	delta=842,	
