seq=103,	ch0=   9,	ch1= 419,	ch2= 779,	ch3=   0,	ch4=  64,	ch5= 136,	time=1728461646893852,	delta=841,	
seq=104,	ch0=   0,	ch1= 537,	ch2= 705,	ch3=   0,	ch4=  84,	ch5= 125,	time=1728461646894693,	delta=841,	
seq=105,	ch0=   0,	ch1= 623,	ch2= 612,	ch3=   0,	ch4=  96,	ch5=  93,	time=1728461646895534,	delta=841,	
seq=106,	ch0=   0,	ch1= 704,	ch2= 498,	ch3=   0,	ch4= 117,	ch5=  74,	time=1728461646896375,	delta=841,	
seq=107,	ch0=  34,	ch1= 769,	ch2= 381,	ch3=   0,	ch4= 117,	ch5=  52,	time=1728461646897216,	delta=841,	
seq=108,	ch0=  96,	ch1= 804,	ch2= 274,	ch3=  33,	ch4= 121,	ch5=  26,	time=1728461646898057,	delta=841,	
seq=109,	ch0= 196,	ch1= 811,	ch2= 165,	ch3=  34,	ch4= 117,	ch5=   2,	time=1728461646898899,	delta=842,	
seq=110,	ch0= 303,	ch1= 795,	ch2=  81,	ch3=  64,	ch4= 121,	ch5=   0,	time=1728461646899740,	delta=841,	
seq=111,	ch0= 413,	ch1= 741,	ch2=   9,	ch3=  97,	ch4= 106,	ch5=   0,	time=1728461646900581,	delta=841,	
seq=112,	ch0= 517,	ch1= 658,	ch2=   0,	ch3= 120,	ch4=  87,	ch5=   0,	time=1728461646901367,	delta=786,	
seq=113,	ch0= 651,	ch1= 655,	ch2=   0,	ch3= 133,	ch4=  64,	ch5=   0,	time=1728461646902208,	delta=841,	
seq=114,	ch0= 681,	ch1= 381,	ch2=   0,	ch3= 143,	ch4= 104,	ch5=   0,	time=1728461646903049,	delta=841,	
seq=115,	ch0= 762,	ch1= 360,	ch2=  45,	ch3= 157,	ch4=  30,	ch5=   0,	time=1728461646903890,	delta=841,	
seq=116,	ch0= 783,	ch1= 253,	ch2= 130,	ch3= 162,	ch4=   2,	ch5=  13,	time=1728461646904731,	delta=841,	
seq=117,	ch0= 789,	ch1= 151,	ch2= 220,	ch3= 166,	ch4=   1,	ch5=  34,	time=1728461646905572,	delta=841,	
seq=118,	ch0= 760,	ch1=  71,	ch2= 330,	ch3= 152,	ch4=   0,	ch5=  57,	time=1728461646906413,	delta=841,	
seq=119,	ch0= 709,	ch1=  11,	ch2= 457,	ch3= 145,	ch4=   0,	ch5=  82,	time=1728461646907254,	delta=841,	
seq=120,	ch0= 633,	ch1=   0,	ch2= 537,	ch3= 121,	ch4=   0,	ch5= 171,	time=1728461646908095,	delta=841,	
seq=121,	ch0= 551,	ch1=   0,	ch2= 656,	ch3= 101,	ch4=   0,	ch5= 114,	time=1728461646908936,	delta=841,	
seq=122,	ch0= 442,	ch1=  56,	ch2= 744,	ch3=  77,	ch4=   0,	ch5= 129,	time=1728461646909777,	delta=841,	
seq=123,	ch0= 331,	ch1=  36,	ch2= 806,	ch3=  50,	ch4=  18,	ch5= 146,	time=1728461646910618,	delta=841,	
seq=124,	ch0= 228,	ch1=  92,	ch2= 847,	ch3=  21,	ch4=   0,	ch5= 144,	time=1728461646911459,	delta=841,	
seq=125,	ch0= 221,	ch1= 213,	ch2= 839,	ch3=  18,	ch4=   1,	ch5= 153,	time=1728461646912300,	delta=841,	
seq=126,	ch0=   0,	ch1= 329,	ch2= 841,	ch3=   5,	ch4=  47,	ch5= 137,	time=1728461646913141,	delta=841,	
seq=127,	ch0=   0,	ch1= 443,	ch2= 766,	ch3=   0,	ch4=  68,	ch5= 130,	time=1728461646913982,	delta=841,	
seq=128,	ch0=   0,	ch1= 548,	ch2= 684,	ch3=   0,	ch4=  87,	ch5= 111,	time=1728461646914842,	delta=860,	
seq=129,	ch0=   0,	ch1= 640,	ch2= 591,	ch3=   0,	ch4= 101,	ch5=  96,	time=1728461646915682,	delta=840,	
seq=130,	ch0=   0,	ch1= 714,	ch2= 474,	ch3=   0,	ch4= 114,	ch5=  63,	time=1728461646916523,	delta=841,	
seq=131,	ch0=  53,	ch1= 784,	ch2= 354,	ch3=   0,	ch4= 122,	ch5=  53,	time=1728461646917364,	delta=841,	
