seq=144,	ch0=1193,	ch1=   0,	ch2=1260,	ch3=1165,	ch4= 215,	ch5= 210,	time=1728463251748479,	delta=848,	
seq=145,	ch0= 956,	ch1=   0,	ch2=1439,	ch3=1121,	ch4= 109,	ch5= 367,	time=1728463251749321,	delta=842,	
seq=146,	ch0= 761,	ch1= 125,	ch2=1613,	ch3=1098,	ch4=  23,	ch5= 517,	time=1728463251750163,	delta=842,	
seq=147,	ch0= 546,	ch1= 179,	ch2=1794,	ch3=1022,	ch4=   0,	ch5= 698,	time=1728463251751005,	delta=842,	
seq=148,	ch0= 359,	ch1= 361,	ch2=1752,	ch3= 907,	ch4=   0,	ch5= 844,	time=1728463251751847,	delta=842,	
seq=149,	ch0= 205,	ch1= 578,	ch2=1704,	ch3= 754,	ch4=   0,	ch5= 979,	time=1728463251752689,	delta=842,	
seq=150,	ch0=  64,	ch1= 791,	ch2=1616,	ch3= 597,	ch4=  23,	ch5=1068,	time=1728463251753531,	delta=842,	
seq=151,	ch0=   0,	ch1= 999,	ch2=1473,	ch3= 432,	ch4= 116,	ch5=1137,	time=1728463251754373,	delta=842,	
seq=152,	ch0=   0,	ch1=1208,	ch2=1274,	ch3= 287,	ch4= 235,	ch5=1169,	time=1728463251755215,	delta=842,	
seq=153,	ch0=   0,	ch1=1377,	ch2=1065,	ch3= 160,	ch4= 351,	ch5=1149,	time=1728463251756056,	delta=841,	
seq=154,	ch0=  66,	ch1=1501,	ch2= 846,	ch3=  74,	ch4= 504,	ch5=1090,	time=1728463251756898,	delta=842,	
seq=155,	ch0= 197,	ch1=1584,	ch2= 611,	ch3=  10,	ch4= 629,	ch5=1009,	time=1728463251757740,	delta=842,	
seq=156,	ch0= 370,	ch1=1619,	ch2= 380,	ch3=   0,	ch4= 741,	ch5= 891,	time=1728463251758582,	delta=842,	
seq=157,	ch0= 663,	ch1=1601,	ch2= 247,	ch3=   0,	ch4= 818,	ch5= 748,	time=1728463251759424,	delta=842,	
seq=158,	ch0= 656,	ch1=1515,	ch2=  46,	ch3=  79,	ch4= 907,	ch5= 598,	time=1728463251760266,	delta=842,	
seq=159,	ch0= 952,	ch1=1376,	ch2=  20,	ch3= 137,	ch4= 965,	ch5= 383,	time=1728463251761108,	delta=842,	
seq=160,	ch0=1200,	ch1=1210,	ch2=   4,	ch3= 221,	ch4= 979,	ch5= 261,	time=1728463251762013,	delta=905,	
seq=161,	ch0=1372,	ch1=1006,	ch2=   0,	ch3= 376,	ch4= 960,	ch5= 130,	time=1728463251762855,	delta=842,	
seq=162,	ch0=1492,	ch1= 784,	ch2=  85,	ch3= 543,	ch4= 912,	ch5=  45,	time=1728463251763697,	delta=842,	
seq=163,	ch0=1577,	ch1= 567,	ch2= 237,	ch3= 705,	ch4= 832,	ch5=   0,	time=1728463251764539,	delta=842,	
seq=164,	ch0=1595,	ch1= 370,	ch2= 436,	ch3= 853,	ch4= 698,	ch5=   0,	time=1728463251765381,	delta=842,	
seq=165,	ch0=1555,	ch1= 200,	ch2= 645,	ch3= 976,	ch4= 576,	ch5=   0,	time=1728463251766223,	delta=842,	
seq=166,	ch0=1465,	ch1= 113,	ch2= 875,	ch3=1061,	ch4= 444,	ch5=  17,	time=1728463251767065,	delta=842,	
seq=167,	ch0=1322,	ch1=  42,	ch2=1106,	ch3=1117,	ch4= 346,	ch5= 122,	time=1728463251767907,	delta=842,	
seq=168,	ch0=1149,	ch1=   0,	ch2=1316,	ch3=1159,	ch4= 209,	ch5= 241,	time=1728463251768749,	delta=842,	
seq=169,	ch0= 935,	ch1=   0,	ch2=1488,	ch3=1172,	ch4= 123,	ch5= 389,	time=1728463251769591,	delta=842,	
seq=170,	ch0= 719,	ch1=  64,	ch2=1625,	ch3=1111,	ch4=   0,	ch5= 561,	time=1728463251770433,	delta=842,	
seq=171,	ch0= 637,	ch1= 221,	ch2=1759,	ch3=1031,	ch4=   0,	ch5= 739,	time=1728463251771275,	delta=842,	
seq=172,	ch0= 324,	ch1= 425,	ch2=1730,	ch3= 879,	ch4=   0,	ch5= 885,	time=1728463251772117,	delta=842,	
seq=173,	ch0= 151,	ch1= 626,	ch2=1682,	ch3= 718,	ch4=   0,	ch5=1003,	time=1728463251772959,	delta=842,	
seq=174,	ch0=  26,	ch1= 846,	ch2=1574,	ch3= 549,	ch4=  53,	ch5=1095,	time=1728463251773801,	delta=842,	
seq=175,	ch0=   0,	ch1=1058,	ch2=1420,	ch3= 391,	ch4= 138,	ch5=1140,	time=1728463251774643,	delta=842,	
seq=176,	ch0=   0,	ch1=1254,	ch2=1223,	ch3= 252,	ch4= 260,	ch5=1157,	time=1728463251775449,	delta=806,	
seq=177,	ch0=   0,	ch1=1417,	ch2=1009,	ch3= 136,	ch4= 394,	ch5=1149,	time=1728463251776290,	delta=841,	
seq=178,	ch0=  77,	ch1=1541,	ch2= 770,	ch3=  47,	ch4= 534,	ch5=1088,	time=1728463251777132,	delta=842,	
seq=179,	ch0= 240,	ch1=1610,	ch2= 538,	ch3=   0,	ch4= 658,	ch5= 986,	time=1728463251777974,	delta=842,	
seq=180,	ch0= 430,	ch1=1645,	ch2= 325,	ch3=   0,	ch4= 778,	ch5= 845,	time=1728463251778816,	delta=842,	
seq=181,	ch0= 602,	ch1=1705,	ch2= 149,	ch3=  11,	ch4= 877,	ch5= 649,	time=1728463251779658,	delta=842,	
seq=182,	ch0= 882,	ch1=1549,	ch2=  32,	ch3=  28,	ch4= 924,	ch5= 507,	time=1728463251780500,	delta=842,	
seq=183,	ch0=1042,	ch1=1244,	ch2=   0,	ch3= 128,	ch4=1046,	ch5= 346,	time=1728463251781342,	delta=842,	
seq=184,	ch0=1239,	ch1=1150,	ch2=   2,	ch3= 264,	ch4= 996,	ch5= 224,	time=1728463251782184,	delta=842,	
