seq=82,	ch0= 709,	ch1= 544,	ch2=   0,	ch3=  21,	ch4=  26,	ch5=   4,	time=1728461175008825,	delta=840,	
seq=83,	ch0= 737,	ch1= 330,	ch2=  29,	ch3=  10,	ch4=   0,	ch5=   4,	time=1728461175009666,	delta=841,	
seq=84,	ch0= 815,	ch1= 258,	ch2=  82,	ch3=  94,	ch4=  11,	ch5=  32,	time=1728461175010507,	delta=841,	
seq=85,	ch0= 786,	ch1= 180,	ch2= 204,	ch3=  26,	ch4=  23,	ch5=  28,	time=1728461175011348,	delta=841,	
seq=86,	ch0= 762,	ch1=  79,	ch2= 309,	ch3=  29,	ch4=  17,	ch5=  14,	time=1728461175012189,	delta=841,	
seq=87,	ch0= 733,	ch1=  17,	ch2= 425,	ch3=  26,	ch4=  30,	ch5=  18,	time=1728461175013030,	delta=841,	
seq=88,	ch0= 644,	ch1=   0,	ch2= 546,	ch3=  26,	ch4=  21,	ch5=  23,	time=1728461175013871,	delta=841,	
seq=89,	ch0= 559,	ch1=   0,	ch2= 650,	ch3=  32,	ch4=  21,	ch5=  20,	time=1728461175014712,	delta=841,	
seq=90,	ch0= 523,	ch1=   0,	ch2= 734,	ch3=  32,	ch4=   9,	ch5=  14,	time=1728461175015553,	delta=841,	
seq=91,	ch0= 327,	ch1=  37,	ch2= 802,	ch3=   8,	ch4=  14,	ch5=  10,	time=1728461175016394,	delta=841,	
seq=92,	ch0= 242,	ch1= 121,	ch2= 907,	ch3=  26,	ch4=  21,	ch5=  10,	time=1728461175017235,	delta=841,	
seq=93,	ch0= 146,	ch1= 209,	ch2= 832,	ch3=  26,	ch4=  21,	ch5=  34,	time=1728461175018076,	delta=841,	
seq=94,	ch0=  74,	ch1= 394,	ch2= 816,	ch3=  64,	ch4=  34,	ch5=   0,	time=1728461175018917,	delta=841,	
seq=95,	ch0=   5,	ch1= 357,	ch2= 761,	ch3=  40,	ch4=  56,	ch5=  13,	time=1728461175019758,	delta=841,	
seq=96,	ch0=  64,	ch1= 485,	ch2= 714,	ch3=  22,	ch4=   2,	ch5=   5,	time=1728461175020411,	delta=653,	
seq=97,	ch0=   0,	ch1= 622,	ch2= 604,	ch3=  29,	ch4=  18,	ch5=  13,	time=1728461175021252,	delta=841,	
seq=98,	ch0=   0,	ch1= 706,	ch2= 489,	ch3=  23,	ch4=  23,	ch5=  13,	time=1728461175022093,	delta=841,	
seq=99,	ch0=  36,	ch1= 769,	ch2= 373,	ch3=  21,	ch4=  13,	ch5=  19,	time=1728461175022934,	delta=841,	
seq=100,	ch0= 113,	ch1= 795,	ch2= 261,	ch3=  26,	ch4=  13,	ch5=  17,	time=1728461175023775,	delta=841,	
seq=101,	ch0= 199,	ch1= 810,	ch2= 162,	ch3=  21,	ch4=  15,	ch5=  16,	time=1728461175024616,	delta=841,	
seq=102,	ch0= 306,	ch1= 778,	ch2=  82,	ch3=  23,	ch4=  11,	ch5=  11,	time=1728461175025457,	delta=841,	
seq=103,	ch0= 395,	ch1= 727,	ch2=   5,	ch3=  21,	ch4=   9,	ch5=  16,	time=1728461175026298,	delta=841,	
seq=104,	ch0= 511,	ch1= 667,	ch2=   0,	ch3=   5,	ch4=  13,	ch5=  21,	time=1728461175027139,	delta=841,	
seq=105,	ch0= 610,	ch1= 577,	ch2=  33,	ch3=  10,	ch4=  26,	ch5=  29,	time=1728461175027980,	delta=841,	
seq=106,	ch0= 722,	ch1= 497,	ch2=   0,	ch3=  10,	ch4=  38,	ch5=  89,	time=1728461175028821,	delta=841,	
seq=107,	ch0= 762,	ch1= 448,	ch2=  37,	ch3=  50,	ch4=  32,	ch5=   0,	time=1728461175029662,	delta=841,	
seq=108,	ch0= 791,	ch1= 235,	ch2= 125,	ch3=  23,	ch4=  37,	ch5=  20,	time=1728461175030503,	delta=841,	
seq=109,	ch0= 783,	ch1= 146,	ch2= 224,	ch3=  23,	ch4=  21,	ch5=  18,	time=1728461175031344,	delta=841,	
seq=110,	ch0= 761,	ch1=  64,	ch2= 337,	ch3=  34,	ch4=  21,	ch5=  17,	time=1728461175032185,	delta=841,	
seq=111,	ch0= 708,	ch1=   2,	ch2= 450,	ch3=  36,	ch4=  25,	ch5=  21,	time=1728461175033026,	delta=841,	
seq=112,	ch0= 631,	ch1=   0,	ch2= 569,	ch3=  25,	ch4=  20,	ch5=  14,	time=1728461175033862,	delta=836,	
seq=113,	ch0= 535,	ch1=  64,	ch2= 669,	ch3=  26,	ch4=  26,	ch5=  10,	time=1728461175034703,	delta=841,	
seq=114,	ch0= 436,	ch1=   0,	ch2= 763,	ch3=  28,	ch4=  74,	ch5=  18,	time=1728461175035544,	delta=841,	
seq=115,	ch0= 399,	ch1=  41,	ch2= 815,	ch3=  32,	ch4=   8,	ch5=  17,	time=1728461175036385,	delta=841,	
seq=116,	ch0= 207,	ch1= 139,	ch2= 849,	ch3=  53,	ch4=  20,	ch5=  28,	time=1728461175037226,	delta=841,	
seq=117,	ch0= 105,	ch1= 258,	ch2= 859,	ch3=  18,	ch4=  23,	ch5=   0,	time=1728461175038067,	delta=841,	
seq=118,	ch0=  64,	ch1= 351,	ch2= 785,	ch3=  21,	ch4=  14,	ch5= 101,	time=1728461175038908,	delta=841,	
seq=119,	ch0=  16,	ch1= 441,	ch2= 738,	ch3=  37,	ch4=  25,	ch5=   0,	time=1728461175039749,	delta=841,	
seq=120,	ch0=   0,	ch1= 547,	ch2= 677,	ch3=  29,	ch4=  15,	ch5=  13,	time=1728461175040590,	delta=841,	
seq=121,	ch0=   0,	ch1= 642,	ch2= 578,	ch3=  29,	ch4=  26,	ch5=  17,	time=1728461175041431,	delta=841,	
seq=122,	ch0=   0,	ch1= 724,	ch2= 469,	ch3=  30,	ch4=  13,	ch5=  18,	time=1728461175042272,	delta=841,	
seq=123,	ch0=  64,	ch1= 777,	ch2= 354,	ch3=  26,	ch4=  18,	ch5=  11,	time=1728461175043113,	delta=841,	
seq=124,	ch0= 133,	ch1= 809,	ch2= 238,	ch3=  22,	ch4=  14,	ch5=  15,	time=1728461175043954,	delta=841,	
seq=125,	ch0= 237,	ch1= 810,	ch2= 138,	ch3=  26,	ch4=  16,	ch5=  14,	time=1728461175044795,	delta=841,	
seq=126,	ch0= 337,	ch1= 778,	ch2=  47,	ch3=  23,	ch4=  13,	ch5=  10,	time=1728461175045636,	delta=841,	
seq=127,	ch0= 444,	ch1= 722,	ch2=   0,	ch3=  21,	ch4=   0,	ch5=  26,	time=1728461175046477,	delta=841,	
seq=128,	ch0= 541,	ch1= 619,	ch2=   0,	ch3=  18,	ch4=   5,	ch5=  18,	time=1728461175047332,	delta=855,	
seq=129,	ch0= 578,	ch1= 533,	ch2=   0,	ch3=  36,	ch4=  11,	ch5=   0,	time=1728461175048173,	delta=841,	
seq=130,	ch0= 693,	ch1= 489,	ch2=  18,	ch3=   0,	ch4=  21,	ch5=  16,	time=1728461175049014,	delta=841,	
seq=131,	ch0= 762,	ch1= 357,	ch2= 133,	ch3=  17,	ch4=  26,	ch5=  10,	time=1728461175049855,	delta=841,	
seq=132,	ch0= 785,	ch1= 221,	ch2= 149,	ch3=  26,	ch4=  21,	ch5=  23,	time=1728461175050696,	delta=841,	
seq=133,	ch0= 781,	ch1= 138,	ch2= 249,	ch3=  20,	ch4=  21,	ch5=  21,	time=1728461175051537,	delta=841,	
