seq=87,	ch0= 645,	ch1=1535,	ch2= 138,	ch3= 134,	ch4= 338,	ch5=   0,	time=1728463139429104,	delta=842,	
seq=88,	ch0= 864,	ch1=1439,	ch2=  23,	ch3= 206,	ch4= 273,	ch5=   0,	time=1728463139429946,	delta=842,	
seq=89,	ch0=1070,	ch1=1336,	ch2=   0,	ch3= 242,	ch4= 205,	ch5=   0,	time=1728463139430787,	delta=841,	
seq=90,	ch0=1252,	ch1=1149,	ch2=   0,	ch3= 279,	ch4= 161,	ch5=   0,	time=1728463139431628,	delta=841,	
seq=91,	ch0=1412,	ch1= 938,	ch2=   5,	ch3= 309,	ch4= 118,	ch5=   0,	time=1728463139432469,	delta=841,	
seq=92,	ch0=1532,	ch1= 719,	ch2= 137,	ch3= 337,	ch4=  75,	ch5=  18,	time=1728463139433310,	delta=841,	
seq=93,	ch0=1585,	ch1= 515,	ch2= 292,	ch3= 342,	ch4=  45,	ch5=  58,	time=1728463139434152,	delta=842,	
seq=94,	ch0=1660,	ch1= 296,	ch2= 497,	ch3= 354,	ch4=   0,	ch5=  98,	time=1728463139434994,	delta=842,	
seq=95,	ch0=1577,	ch1= 133,	ch2= 711,	ch3= 333,	ch4=   0,	ch5= 153,	time=1728463139435836,	delta=842,	
seq=96,	ch0=1406,	ch1=  21,	ch2= 949,	ch3= 341,	ch4=   0,	ch5= 205,	time=1728463139436645,	delta=809,	
seq=97,	ch0=1166,	ch1=   0,	ch2=1160,	ch3= 328,	ch4=   0,	ch5= 276,	time=1728463139437486,	delta=841,	
seq=98,	ch0= 949,	ch1=   0,	ch2=1359,	ch3= 289,	ch4=   0,	ch5= 312,	time=1728463139438327,	delta=841,	
seq=99,	ch0= 774,	ch1=  10,	ch2=1530,	ch3= 229,	ch4=   0,	ch5= 354,	time=1728463139439168,	delta=841,	
seq=100,	ch0= 644,	ch1= 132,	ch2=1664,	ch3= 137,	ch4=  21,	ch5= 321,	time=1728463139440010,	delta=842,	
seq=101,	ch0= 450,	ch1= 285,	ch2=1722,	ch3=  85,	ch4=  64,	ch5= 334,	time=1728463139440852,	delta=842,	
seq=102,	ch0= 261,	ch1= 485,	ch2=1711,	ch3=  45,	ch4= 100,	ch5= 330,	time=1728463139441694,	delta=842,	
seq=103,	ch0= 109,	ch1= 704,	ch2=1660,	ch3=  15,	ch4= 135,	ch5= 311,	time=1728463139442536,	delta=842,	
seq=104,	ch0=   0,	ch1= 917,	ch2=1525,	ch3=   0,	ch4= 181,	ch5= 279,	time=1728463139443378,	delta=842,	
seq=105,	ch0=   0,	ch1=1127,	ch2=1361,	ch3=   0,	ch4= 218,	ch5= 247,	time=1728463139444219,	delta=841,	
seq=106,	ch0=   0,	ch1=1308,	ch2=1159,	ch3=   0,	ch4= 248,	ch5= 201,	time=1728463139445060,	delta=841,	
seq=107,	ch0=  26,	ch1=1464,	ch2= 931,	ch3=   9,	ch4= 277,	ch5= 154,	time=1728463139445901,	delta=841,	
seq=108,	ch0= 133,	ch1=1578,	ch2= 692,	ch3=  39,	ch4= 276,	ch5= 108,	time=1728463139446742,	delta=841,	
seq=109,	ch0= 286,	ch1=1606,	ch2= 388,	ch3=  58,	ch4= 261,	ch5= 143,	time=1728463139447584,	delta=842,	
seq=110,	ch0= 535,	ch1=1641,	ch2= 234,	ch3= 107,	ch4= 279,	ch5=  64,	time=1728463139448426,	delta=842,	
seq=111,	ch0= 757,	ch1=1583,	ch2=  89,	ch3= 158,	ch4= 231,	ch5=   0,	time=1728463139449268,	delta=842,	
seq=112,	ch0= 909,	ch1=1443,	ch2=   5,	ch3= 212,	ch4= 224,	ch5=   0,	time=1728463139450109,	delta=841,	
seq=113,	ch0=1121,	ch1=1281,	ch2=   2,	ch3= 257,	ch4= 189,	ch5=   0,	time=1728463139450950,	delta=841,	
seq=114,	ch0=1301,	ch1=1089,	ch2=   0,	ch3= 293,	ch4= 149,	ch5=   0,	time=1728463139451791,	delta=841,	
seq=115,	ch0=1442,	ch1= 874,	ch2=  37,	ch3= 324,	ch4= 106,	ch5=   2,	time=1728463139452632,	delta=841,	
seq=116,	ch0=1549,	ch1= 653,	ch2= 170,	ch3= 333,	ch4=  71,	ch5=  30,	time=1728463139453474,	delta=842,	
seq=117,	ch0=1595,	ch1= 450,	ch2= 333,	ch3= 342,	ch4=  76,	ch5=  64,	time=1728463139454316,	delta=842,	
seq=118,	ch0=1577,	ch1= 244,	ch2= 551,	ch3= 341,	ch4=  44,	ch5= 100,	time=1728463139455158,	delta=842,	
seq=119,	ch0=1513,	ch1=  94,	ch2= 782,	ch3= 327,	ch4=  21,	ch5= 157,	time=1728463139455999,	delta=841,	
seq=120,	ch0=1387,	ch1=   0,	ch2= 997,	ch3= 308,	ch4=   0,	ch5= 207,	time=1728463139456840,	delta=841,	
seq=121,	ch0=1236,	ch1=   0,	ch2=1217,	ch3= 244,	ch4=   0,	ch5= 237,	time=1728463139457681,	delta=841,	
seq=122,	ch0=1033,	ch1=   0,	ch2=1419,	ch3= 197,	ch4=   0,	ch5= 277,	time=1728463139458522,	delta=841,	
seq=123,	ch0= 922,	ch1=  10,	ch2=1580,	ch3= 160,	ch4=   0,	ch5= 320,	time=1728463139459363,	delta=841,	
seq=124,	ch0= 607,	ch1= 168,	ch2=1685,	ch3= 114,	ch4=  29,	ch5= 322,	time=1728463139460205,	delta=842,	
seq=125,	ch0= 405,	ch1= 333,	ch2=1731,	ch3=  74,	ch4=  66,	ch5= 332,	time=1728463139461047,	delta=842,	
seq=126,	ch0= 224,	ch1= 537,	ch2=1705,	ch3=  41,	ch4= 111,	ch5= 325,	time=1728463139461889,	delta=842,	
seq=127,	ch0=  77,	ch1= 754,	ch2=1628,	ch3=   4,	ch4= 153,	ch5= 311,	time=1728463139462730,	delta=841,	
seq=128,	ch0=   0,	ch1= 965,	ch2=1489,	ch3=   0,	ch4= 181,	ch5= 277,	time=1728463139463585,	delta=855,	
seq=129,	ch0=   0,	ch1=1165,	ch2=1298,	ch3=   0,	ch4= 205,	ch5= 238,	time=1728463139464426,	delta=841,	
seq=130,	ch0=   0,	ch1=1350,	ch2=1103,	ch3=   0,	ch4= 250,	ch5= 186,	time=1728463139465267,	delta=841,	
seq=131,	ch0=  47,	ch1=1495,	ch2= 876,	ch3=   0,	ch4= 274,	ch5= 138,	time=1728463139466108,	delta=841,	
seq=132,	ch0= 165,	ch1=1600,	ch2= 644,	ch3=  36,	ch4= 269,	ch5=  96,	time=1728463139466950,	delta=842,	
seq=133,	ch0= 314,	ch1=1682,	ch2= 453,	ch3=  52,	ch4= 270,	ch5=  49,	time=1728463139467792,	delta=842,	
seq=134,	ch0= 523,	ch1=1594,	ch2= 346,	ch3= 105,	ch4= 279,	ch5=  25,	time=1728463139468633,	delta=841,	
seq=135,	ch0= 751,	ch1=1563,	ch2= 170,	ch3= 166,	ch4= 280,	ch5=  21,	time=1728463139469475,	delta=842,	
seq=136,	ch0= 961,	ch1=1415,	ch2=   0,	ch3= 218,	ch4= 218,	ch5=   0,	time=1728463139470316,	delta=841,	
seq=137,	ch0=1166,	ch1=1243,	ch2=   0,	ch3= 265,	ch4= 188,	ch5=   0,	time=1728463139471157,	delta=841,	
seq=138,	ch0=1330,	ch1=1046,	ch2=   0,	ch3= 298,	ch4= 138,	ch5=   0,	time=1728463139471997,	delta=840,	
seq=139,	ch0=1472,	ch1= 824,	ch2=  68,	ch3= 323,	ch4=  98,	ch5=   4,	time=1728463139472838,	delta=841,	
seq=140,	ch0=1564,	ch1= 601,	ch2= 215,	ch3= 346,	ch4=  64,	ch5=  36,	time=1728463139473680,	delta=842,	
seq=141,	ch0=1600,	ch1= 405,	ch2= 370,	ch3= 338,	ch4=  21,	ch5=  73,	time=1728463139474522,	delta=842,	
seq=142,	ch0=1571,	ch1= 238,	ch2= 596,	ch3= 338,	ch4=   0,	ch5= 112,	time=1728463139475364,	delta=842,	
seq=143,	ch0=1478,	ch1= 122,	ch2= 832,	ch3= 325,	ch4=   0,	ch5= 168,	time=1728463139476206,	delta=842,	
seq=144,	ch0=1351,	ch1=  11,	ch2=1066,	ch3= 301,	ch4=   0,	ch5= 215,	time=1728463139477046,	delta=840,	
seq=145,	ch0=1216,	ch1=  40,	ch2=1268,	ch3= 242,	ch4=   0,	ch5= 240,	time=1728463139477887,	delta=841,	
seq=146,	ch0= 978,	ch1=   0,	ch2=1462,	ch3= 181,	ch4=  64,	ch5= 277,	time=1728463139478728,	delta=841,	
seq=147,	ch0= 744,	ch1=   0,	ch2=1602,	ch3= 149,	ch4=  74,	ch5= 305,	time=1728463139479569,	delta=841,	
seq=148,	ch0= 559,	ch1= 205,	ch2=1704,	ch3= 107,	ch4=  33,	ch5= 324,	time=1728463139480411,	delta=842,	
seq=149,	ch0= 345,	ch1= 386,	ch2=1735,	ch3=  68,	ch4=  74,	ch5= 335,	time=1728463139481253,	delta=842,	
seq=150,	ch0= 186,	ch1= 585,	ch2=1692,	ch3=  39,	ch4= 122,	ch5= 322,	time=1728463139482095,	delta=842,	
seq=151,	ch0=  46,	ch1= 802,	ch2=1600,	ch3=   0,	ch4= 162,	ch5= 301,	time=1728463139482937,	delta=842,	
seq=152,	ch0=   0,	ch1=1019,	ch2=1453,	ch3=   0,	ch4= 189,	ch5= 269,	time=1728463139483778,	delta=841,	
seq=153,	ch0=   0,	ch1=1224,	ch2=1262,	ch3=   0,	ch4= 218,	ch5= 233,	time=1728463139484619,	delta=841,	
seq=154,	ch0=   0,	ch1=1385,	ch2=1049,	ch3=   0,	ch4= 246,	ch5= 170,	time=1728463139485460,	delta=841,	
seq=155,	ch0=  50,	ch1=1519,	ch2= 824,	ch3=  23,	ch4= 266,	ch5= 125,	time=1728463139486301,	delta=841,	
seq=156,	ch0= 199,	ch1=1603,	ch2= 596,	ch3=  46,	ch4= 277,	ch5=  81,	time=1728463139487143,	delta=842,	
seq=157,	ch0= 346,	ch1=1638,	ch2= 361,	ch3=  57,	ch4= 277,	ch5=  71,	time=1728463139487985,	delta=842,	
seq=158,	ch0= 562,	ch1=1644,	ch2= 202,	ch3= 111,	ch4= 254,	ch5=   0,	time=1728463139488827,	delta=842,	
seq=159,	ch0= 796,	ch1=1500,	ch2= 128,	ch3= 180,	ch4= 244,	ch5=   0,	time=1728463139489669,	delta=842,	
seq=160,	ch0=1015,	ch1=1383,	ch2=   0,	ch3= 233,	ch4= 217,	ch5=   0,	time=1728463139490515,	delta=846,	
seq=161,	ch0=1201,	ch1=1201,	ch2=   0,	ch3= 271,	ch4= 166,	ch5=   0,	time=1728463139491356,	delta=841,	
seq=162,	ch0=1368,	ch1= 994,	ch2=   0,	ch3= 312,	ch4= 130,	ch5=   0,	time=1728463139492197,	delta=841,	
seq=163,	ch0=1496,	ch1= 776,	ch2=  85,	ch3= 329,	ch4=  89,	ch5=  13,	time=1728463139493038,	delta=841,	
seq=164,	ch0=1576,	ch1= 562,	ch2= 233,	ch3= 338,	ch4=  54,	ch5=  45,	time=1728463139493880,	delta=842,	
seq=165,	ch0=1595,	ch1= 368,	ch2= 416,	ch3= 338,	ch4=  21,	ch5= 162,	time=1728463139494722,	delta=842,	
seq=166,	ch0=1555,	ch1= 193,	ch2= 636,	ch3= 328,	ch4=   5,	ch5= 170,	time=1728463139495564,	delta=842,	
seq=167,	ch0=1456,	ch1=  52,	ch2= 878,	ch3= 314,	ch4=   0,	ch5= 169,	time=1728463139496406,	delta=842,	
seq=168,	ch0=1322,	ch1=  17,	ch2=1106,	ch3= 293,	ch4=   0,	ch5= 225,	time=1728463139497247,	delta=841,	
seq=169,	ch0=1120,	ch1= 116,	ch2=1305,	ch3= 262,	ch4=   0,	ch5= 237,	time=1728463139498088,	delta=841,	
seq=170,	ch0= 900,	ch1= 121,	ch2=1475,	ch3= 199,	ch4=   0,	ch5= 261,	time=1728463139498929,	delta=841,	
seq=171,	ch0= 724,	ch1= 181,	ch2=1622,	ch3= 158,	ch4=  10,	ch5= 306,	time=1728463139499770,	delta=841,	
seq=172,	ch0= 509,	ch1= 240,	ch2=1712,	ch3=  93,	ch4=  39,	ch5= 329,	time=1728463139500612,	delta=842,	
seq=173,	ch0= 302,	ch1= 424,	ch2=1731,	ch3=  53,	ch4=  82,	ch5= 334,	time=1728463139501454,	delta=842,	
seq=174,	ch0= 140,	ch1= 629,	ch2=1678,	ch3=  22,	ch4= 127,	ch5= 320,	time=1728463139502296,	delta=842,	
seq=175,	ch0=  21,	ch1= 852,	ch2=1590,	ch3=   0,	ch4= 167,	ch5= 299,	time=1728463139503137,	delta=841,	
seq=176,	ch0=   0,	ch1=1065,	ch2=1417,	ch3=   0,	ch4= 199,	ch5= 265,	time=1728463139503986,	delta=849,	
seq=177,	ch0=   0,	ch1=1253,	ch2=1220,	ch3=   0,	ch4= 217,	ch5= 209,	time=1728463139504827,	delta=841,	
seq=178,	ch0=   4,	ch1=1418,	ch2=1006,	ch3=   2,	ch4= 250,	ch5= 157,	time=1728463139505668,	delta=841,	
seq=179,	ch0=  89,	ch1=1533,	ch2= 781,	ch3=  23,	ch4= 261,	ch5=  98,	time=1728463139506510,	delta=842,	
seq=180,	ch0= 244,	ch1=1609,	ch2= 553,	ch3=  66,	ch4= 261,	ch5=  64,	time=1728463139507352,	delta=842,	
seq=181,	ch0= 338,	ch1=1624,	ch2= 353,	ch3= 149,	ch4= 260,	ch5=  70,	time=1728463139508194,	delta=842,	
seq=182,	ch0= 570,	ch1=1576,	ch2= 178,	ch3= 142,	ch4= 229,	ch5=   0,	time=1728463139509036,	delta=842,	
seq=183,	ch0= 818,	ch1=1465,	ch2=  20,	ch3= 160,	ch4= 217,	ch5=   0,	time=1728463139509878,	delta=842,	
seq=184,	ch0=1064,	ch1=1337,	ch2=   0,	ch3= 242,	ch4= 210,	ch5=   0,	time=1728463139510719,	delta=841,	
seq=185,	ch0=1251,	ch1=1155,	ch2=   0,	ch3= 281,	ch4= 160,	ch5=   0,	time=1728463139511559,	delta=840,	
seq=186,	ch0=1404,	ch1= 946,	ch2=   5,	ch3= 320,	ch4= 116,	ch5=   0,	time=1728463139512400,	delta=841,	
seq=187,	ch0=1514,	ch1= 719,	ch2= 122,	ch3= 335,	ch4=  84,	ch5=  21,	time=1728463139513242,	delta=842,	
