seq=105,	ch0= 589,	ch1=   4,	ch2= 617,	ch3= 476,	ch4=   0,	ch5= 169,	time=1728462775370982,	delta=841,	
seq=106,	ch0= 464,	ch1=   0,	ch2= 717,	ch3= 436,	ch4=   0,	ch5= 257,	time=1728462775371823,	delta=841,	
seq=107,	ch0= 290,	ch1= 165,	ch2= 807,	ch3= 386,	ch4=   0,	ch5= 356,	time=1728462775372664,	delta=841,	
seq=108,	ch0= 218,	ch1= 145,	ch2= 847,	ch3= 320,	ch4=   0,	ch5= 449,	time=1728462775373506,	delta=842,	
seq=109,	ch0= 121,	ch1= 239,	ch2= 847,	ch3= 242,	ch4=  18,	ch5= 496,	time=1728462775374348,	delta=842,	
seq=110,	ch0=  36,	ch1= 341,	ch2= 822,	ch3= 181,	ch4=  64,	ch5= 530,	time=1728462775375190,	delta=842,	
seq=111,	ch0=   0,	ch1= 448,	ch2= 751,	ch3= 119,	ch4= 128,	ch5= 530,	time=1728462775376031,	delta=841,	
seq=112,	ch0=   0,	ch1= 562,	ch2= 670,	ch3=  50,	ch4= 185,	ch5= 525,	time=1728462775376875,	delta=844,	
seq=113,	ch0=   0,	ch1= 655,	ch2= 576,	ch3=  17,	ch4= 242,	ch5= 493,	time=1728462775377716,	delta=841,	
seq=114,	ch0=   9,	ch1= 729,	ch2= 463,	ch3=   0,	ch4= 289,	ch5= 441,	time=1728462775378557,	delta=841,	
seq=115,	ch0=  31,	ch1= 778,	ch2= 343,	ch3=   0,	ch4= 333,	ch5= 394,	time=1728462775379398,	delta=841,	
seq=116,	ch0= 104,	ch1= 799,	ch2= 234,	ch3=   2,	ch4= 380,	ch5= 309,	time=1728462775380239,	delta=841,	
seq=117,	ch0= 186,	ch1= 804,	ch2= 114,	ch3=   0,	ch4= 425,	ch5= 218,	time=1728462775381081,	delta=842,	
seq=118,	ch0= 303,	ch1= 810,	ch2=  57,	ch3=  37,	ch4= 448,	ch5= 160,	time=1728462775381923,	delta=842,	
seq=119,	ch0= 448,	ch1= 711,	ch2=   0,	ch3= 101,	ch4= 453,	ch5= 100,	time=1728462775382765,	delta=842,	
seq=120,	ch0= 554,	ch1= 638,	ch2=   0,	ch3= 178,	ch4= 439,	ch5=  52,	time=1728462775383606,	delta=841,	
seq=121,	ch0= 640,	ch1= 538,	ch2=   0,	ch3= 245,	ch4= 394,	ch5=   5,	time=1728462775384447,	delta=841,	
seq=122,	ch0= 714,	ch1= 436,	ch2=   4,	ch3= 320,	ch4= 349,	ch5=   0,	time=1728462775385288,	delta=841,	
seq=123,	ch0= 765,	ch1= 320,	ch2=  68,	ch3= 383,	ch4= 290,	ch5=   0,	time=1728462775386129,	delta=841,	
seq=124,	ch0= 791,	ch1= 215,	ch2= 162,	ch3= 433,	ch4= 229,	ch5=   0,	time=1728462775386970,	delta=841,	
seq=125,	ch0= 775,	ch1= 122,	ch2= 244,	ch3= 480,	ch4= 178,	ch5=   8,	time=1728462775387812,	delta=842,	
seq=126,	ch0= 746,	ch1= 124,	ch2= 362,	ch3= 506,	ch4= 122,	ch5=  64,	time=1728462775388654,	delta=842,	
seq=127,	ch0= 686,	ch1=  23,	ch2= 490,	ch3= 516,	ch4= 109,	ch5= 130,	time=1728462775389496,	delta=842,	
seq=128,	ch0= 605,	ch1=   0,	ch2= 583,	ch3= 505,	ch4=  73,	ch5= 193,	time=1728462775390342,	delta=846,	
seq=129,	ch0= 506,	ch1=   0,	ch2= 696,	ch3= 493,	ch4=  37,	ch5= 281,	time=1728462775391183,	delta=841,	
