seq=59,	ch0= 733,	ch1=2887,	ch2= 413,	ch3= 187,	ch4= 425,	ch5= 122,	time=1728464175414996,	delta=842,	
seq=60,	ch0=1058,	ch1=2686,	ch2= 116,	ch3= 253,	ch4= 394,	ch5=  65,	time=1728464175415838,	delta=842,	
seq=61,	ch0=1391,	ch1=2344,	ch2=   0,	ch3= 335,	ch4= 349,	ch5=  20,	time=1728464175416680,	delta=842,	
seq=62,	ch0=1678,	ch1=1889,	ch2=   0,	ch3= 395,	ch4= 302,	ch5=  48,	time=1728464175417522,	delta=842,	
seq=63,	ch0=1950,	ch1=1570,	ch2=   0,	ch3= 444,	ch4= 242,	ch5=  64,	time=1728464175418363,	delta=841,	
seq=64,	ch0=2341,	ch1=1261,	ch2=   0,	ch3= 485,	ch4= 149,	ch5=  84,	time=1728464175419121,	delta=758,	
seq=65,	ch0=2466,	ch1= 934,	ch2= 218,	ch3= 522,	ch4= 119,	ch5=  66,	time=1728464175419963,	delta=842,	
seq=66,	ch0=2520,	ch1= 617,	ch2= 496,	ch3= 539,	ch4=  66,	ch5= 117,	time=1728464175420805,	delta=842,	
seq=67,	ch0=2497,	ch1= 340,	ch2= 817,	ch3= 530,	ch4=  26,	ch5= 195,	time=1728464175421647,	delta=842,	
seq=68,	ch0=2408,	ch1= 117,	ch2=1158,	ch3= 522,	ch4=   0,	ch5= 266,	time=1728464175422489,	delta=842,	
seq=69,	ch0=2269,	ch1=   4,	ch2=1511,	ch3= 474,	ch4=   0,	ch5= 343,	time=1728464175423331,	delta=842,	
seq=70,	ch0=1800,	ch1=   8,	ch2=1825,	ch3= 405,	ch4=   0,	ch5= 407,	time=1728464175424172,	delta=841,	
seq=71,	ch0=1519,	ch1=  12,	ch2=2120,	ch3= 328,	ch4=   0,	ch5= 445,	time=1728464175425014,	delta=842,	
seq=72,	ch0=1212,	ch1=  64,	ch2=2532,	ch3= 250,	ch4=  23,	ch5= 485,	time=1728464175425855,	delta=841,	
seq=73,	ch0= 874,	ch1= 247,	ch2=2615,	ch3= 175,	ch4=  64,	ch5= 516,	time=1728464175426697,	delta=842,	
seq=74,	ch0= 559,	ch1= 597,	ch2=2669,	ch3= 101,	ch4= 112,	ch5= 503,	time=1728464175427539,	delta=842,	
seq=75,	ch0= 320,	ch1= 887,	ch2=2647,	ch3=  64,	ch4= 170,	ch5= 487,	time=1728464175428381,	delta=842,	
seq=76,	ch0=  98,	ch1=1179,	ch2=2556,	ch3=   9,	ch4= 312,	ch5= 450,	time=1728464175429223,	delta=842,	
seq=77,	ch0=   0,	ch1=1486,	ch2=2344,	ch3=   0,	ch4= 299,	ch5= 439,	time=1728464175430064,	delta=841,	
seq=78,	ch0=   0,	ch1=1760,	ch2=1934,	ch3=   2,	ch4= 345,	ch5= 372,	time=1728464175430905,	delta=841,	
seq=79,	ch0=   0,	ch1=2030,	ch2=1612,	ch3=   2,	ch4= 385,	ch5= 299,	time=1728464175431747,	delta=842,	
seq=80,	ch0=  65,	ch1=2572,	ch2=1267,	ch3=  21,	ch4= 419,	ch5= 228,	time=1728464175432594,	delta=847,	
seq=81,	ch0= 273,	ch1=2840,	ch2= 906,	ch3=  58,	ch4= 436,	ch5= 156,	time=1728464175433436,	delta=842,	
seq=82,	ch0= 517,	ch1=2928,	ch2= 583,	ch3= 133,	ch4= 429,	ch5=  87,	time=1728464175434279,	delta=843,	
seq=83,	ch0= 826,	ch1=2850,	ch2= 298,	ch3= 202,	ch4= 406,	ch5=  31,	time=1728464175435121,	delta=842,	
seq=84,	ch0=1150,	ch1=2606,	ch2=  69,	ch3= 279,	ch4= 370,	ch5=   0,	time=1728464175435963,	delta=842,	
seq=85,	ch0=1452,	ch1=2161,	ch2=   5,	ch3= 346,	ch4= 333,	ch5=   0,	time=1728464175436805,	delta=842,	
seq=86,	ch0=1766,	ch1=1772,	ch2=   0,	ch3= 407,	ch4= 224,	ch5=   0,	time=1728464175437646,	delta=841,	
seq=87,	ch0=1991,	ch1=1486,	ch2=   0,	ch3= 450,	ch4= 167,	ch5=   0,	time=1728464175438488,	delta=842,	
seq=88,	ch0=2424,	ch1=1174,	ch2=  90,	ch3= 510,	ch4= 109,	ch5=  16,	time=1728464175439330,	delta=842,	
seq=89,	ch0=2495,	ch1= 853,	ch2= 309,	ch3= 533,	ch4= 106,	ch5=  68,	time=1728464175440172,	delta=842,	
seq=90,	ch0=2514,	ch1= 544,	ch2= 577,	ch3= 539,	ch4=  53,	ch5= 136,	time=1728464175441014,	delta=842,	
seq=91,	ch0=2481,	ch1= 277,	ch2= 906,	ch3= 530,	ch4=  18,	ch5= 201,	time=1728464175441856,	delta=842,	
seq=92,	ch0=2382,	ch1=  73,	ch2=1268,	ch3= 508,	ch4=   0,	ch5= 291,	time=1728464175442698,	delta=842,	
seq=93,	ch0=2028,	ch1=  23,	ch2=1600,	ch3= 453,	ch4=   0,	ch5= 365,	time=1728464175443539,	delta=841,	
seq=94,	ch0=1731,	ch1=   0,	ch2=1905,	ch3= 394,	ch4=   0,	ch5= 412,	time=1728464175444381,	delta=842,	
seq=95,	ch0=1434,	ch1=   0,	ch2=2166,	ch3= 328,	ch4=   0,	ch5= 456,	time=1728464175445222,	delta=841,	
