seq=82,	ch0=1567,	ch1= 513,	ch2= 285,	ch3= 123,	ch4=  66,	ch5=  79,	time=1728462964620578,	delta=842,	
seq=83,	ch0=1575,	ch1= 320,	ch2= 489,	ch3= 114,	ch4=  74,	ch5=  85,	time=1728462964621420,	delta=842,	
seq=84,	ch0=1524,	ch1= 132,	ch2= 770,	ch3= 105,	ch4=  82,	ch5=  75,	time=1728462964622262,	delta=842,	
seq=85,	ch0=1421,	ch1=  31,	ch2=1010,	ch3= 107,	ch4= 107,	ch5= 100,	time=1728462964623104,	delta=842,	
seq=86,	ch0=1263,	ch1=  34,	ch2=1218,	ch3= 117,	ch4=  79,	ch5= 101,	time=1728462964623945,	delta=841,	
seq=87,	ch0=1093,	ch1=   0,	ch2=1376,	ch3= 126,	ch4=  81,	ch5=  75,	time=1728462964624787,	delta=842,	
seq=88,	ch0= 873,	ch1=  10,	ch2=1543,	ch3= 137,	ch4=  76,	ch5=  84,	time=1728462964625629,	delta=842,	
seq=89,	ch0= 661,	ch1= 118,	ch2=1653,	ch3= 130,	ch4=  79,	ch5=  90,	time=1728462964626471,	delta=842,	
seq=90,	ch0= 462,	ch1= 286,	ch2=1728,	ch3= 125,	ch4=  76,	ch5=  93,	time=1728462964627313,	delta=842,	
seq=91,	ch0= 263,	ch1= 485,	ch2=1728,	ch3= 133,	ch4=  75,	ch5=  82,	time=1728462964628155,	delta=842,	
seq=92,	ch0= 118,	ch1= 691,	ch2=1659,	ch3= 130,	ch4=  66,	ch5=  82,	time=1728462964628997,	delta=842,	
seq=93,	ch0=   4,	ch1= 905,	ch2=1541,	ch3= 129,	ch4=  67,	ch5=  71,	time=1728462964629839,	delta=842,	
seq=94,	ch0=   0,	ch1=1122,	ch2=1380,	ch3= 130,	ch4=  74,	ch5=  92,	time=1728462964630681,	delta=842,	
seq=95,	ch0=   0,	ch1=1307,	ch2=1162,	ch3= 151,	ch4=  71,	ch5=  91,	time=1728462964631522,	delta=841,	
seq=96,	ch0=   0,	ch1=1472,	ch2= 983,	ch3= 169,	ch4=  76,	ch5= 110,	time=1728462964632308,	delta=786,	
seq=97,	ch0=  84,	ch1=1577,	ch2= 704,	ch3=  79,	ch4=  71,	ch5= 100,	time=1728462964633150,	delta=842,	
seq=98,	ch0= 251,	ch1=1649,	ch2= 493,	ch3= 109,	ch4=  82,	ch5=  79,	time=1728462964633992,	delta=842,	
seq=99,	ch0= 480,	ch1=1628,	ch2= 285,	ch3= 110,	ch4=  69,	ch5=  85,	time=1728462964634834,	delta=842,	
seq=100,	ch0= 689,	ch1=1567,	ch2= 126,	ch3= 122,	ch4=  75,	ch5=  71,	time=1728462964635676,	delta=842,	
seq=101,	ch0= 901,	ch1=1448,	ch2=  18,	ch3= 125,	ch4=  78,	ch5=  79,	time=1728462964636518,	delta=842,	
seq=102,	ch0=1108,	ch1=1300,	ch2=   0,	ch3= 117,	ch4=  79,	ch5=  92,	time=1728462964637360,	delta=842,	
seq=103,	ch0=1290,	ch1=1102,	ch2=   0,	ch3= 109,	ch4=  69,	ch5=  83,	time=1728462964638202,	delta=842,	
seq=104,	ch0=1443,	ch1= 942,	ch2=  26,	ch3= 119,	ch4=  73,	ch5=  69,	time=1728462964639044,	delta=842,	
seq=105,	ch0=1539,	ch1= 644,	ch2= 154,	ch3= 121,	ch4= 112,	ch5=  78,	time=1728462964639886,	delta=842,	
