seq=131,	ch0= 810,	ch1= 181,	ch2= 207,	ch3= 693,	ch4= 322,	ch5=   4,	time=1728462916797619,	delta=842,	
seq=132,	ch0= 757,	ch1=  82,	ch2= 298,	ch3= 741,	ch4= 244,	ch5=  71,	time=1728462916798461,	delta=842,	
seq=133,	ch0= 722,	ch1=  28,	ch2= 426,	ch3= 774,	ch4= 162,	ch5= 158,	time=1728462916799303,	delta=842,	
seq=134,	ch0= 650,	ch1=   0,	ch2= 537,	ch3= 779,	ch4=  78,	ch5= 250,	time=1728462916800145,	delta=842,	
seq=135,	ch0= 579,	ch1=  32,	ch2= 632,	ch3= 730,	ch4=  98,	ch5= 333,	time=1728462916800986,	delta=841,	
seq=136,	ch0= 448,	ch1=   0,	ch2= 730,	ch3= 711,	ch4=  45,	ch5= 450,	time=1728462916801828,	delta=842,	
seq=137,	ch0= 359,	ch1=   0,	ch2= 799,	ch3= 607,	ch4=   0,	ch5= 553,	time=1728462916802669,	delta=841,	
seq=138,	ch0= 244,	ch1= 101,	ch2= 837,	ch3= 511,	ch4=   0,	ch5= 656,	time=1728462916803510,	delta=841,	
seq=139,	ch0= 154,	ch1= 206,	ch2= 840,	ch3= 402,	ch4=  21,	ch5= 736,	time=1728462916804352,	delta=842,	
seq=140,	ch0=  73,	ch1= 320,	ch2= 832,	ch3= 301,	ch4=  69,	ch5= 786,	time=1728462916805194,	delta=842,	
seq=141,	ch0=   5,	ch1= 409,	ch2= 777,	ch3= 210,	ch4= 154,	ch5= 803,	time=1728462916806036,	delta=842,	
seq=142,	ch0=   0,	ch1= 513,	ch2= 693,	ch3= 125,	ch4= 234,	ch5= 794,	time=1728462916806878,	delta=842,	
seq=143,	ch0=   0,	ch1= 618,	ch2= 600,	ch3=  45,	ch4= 325,	ch5= 762,	time=1728462916807720,	delta=842,	
seq=144,	ch0=   0,	ch1= 698,	ch2= 553,	ch3=   2,	ch4= 397,	ch5= 685,	time=1728462916808561,	delta=841,	
seq=145,	ch0=  38,	ch1= 764,	ch2= 417,	ch3=   0,	ch4= 480,	ch5= 597,	time=1728462916809403,	delta=842,	
seq=146,	ch0= 105,	ch1= 813,	ch2= 253,	ch3=   0,	ch4= 558,	ch5= 564,	time=1728462916810244,	delta=841,	
seq=147,	ch0= 260,	ch1= 819,	ch2= 124,	ch3=   0,	ch4= 621,	ch5= 440,	time=1728462916811086,	delta=842,	
seq=148,	ch0= 282,	ch1= 841,	ch2=  37,	ch3=  66,	ch4= 661,	ch5= 242,	time=1728462916811928,	delta=842,	
seq=149,	ch0= 453,	ch1= 816,	ch2=   0,	ch3= 151,	ch4= 651,	ch5= 160,	time=1728462916812770,	delta=842,	
seq=150,	ch0= 513,	ch1= 668,	ch2=   0,	ch3= 250,	ch4= 653,	ch5= 103,	time=1728462916813612,	delta=842,	
seq=151,	ch0= 608,	ch1= 569,	ch2=   0,	ch3= 352,	ch4= 617,	ch5=  32,	time=1728462916814453,	delta=841,	
seq=152,	ch0= 690,	ch1= 469,	ch2=   0,	ch3= 451,	ch4= 559,	ch5=   0,	time=1728462916815294,	delta=841,	
seq=153,	ch0= 749,	ch1= 357,	ch2=  45,	ch3= 549,	ch4= 481,	ch5=   0,	time=1728462916816135,	delta=841,	
seq=154,	ch0= 791,	ch1= 249,	ch2= 129,	ch3= 628,	ch4= 400,	ch5=   0,	time=1728462916816977,	delta=842,	
seq=155,	ch0= 758,	ch1= 141,	ch2= 213,	ch3= 704,	ch4= 296,	ch5=  22,	time=1728462916817819,	delta=842,	
seq=156,	ch0= 741,	ch1=  50,	ch2= 345,	ch3= 746,	ch4= 209,	ch5=  81,	time=1728462916818661,	delta=842,	
seq=157,	ch0= 711,	ch1=  10,	ch2= 448,	ch3= 772,	ch4= 142,	ch5= 186,	time=1728462916819503,	delta=842,	
seq=158,	ch0= 632,	ch1=   4,	ch2= 572,	ch3= 770,	ch4=  64,	ch5= 295,	time=1728462916820345,	delta=842,	
seq=159,	ch0= 533,	ch1=   0,	ch2= 782,	ch3= 734,	ch4=  36,	ch5= 405,	time=1728462916821186,	delta=841,	
seq=160,	ch0= 427,	ch1=  26,	ch2= 825,	ch3= 671,	ch4=   0,	ch5= 476,	time=1728462916822030,	delta=844,	
seq=161,	ch0= 299,	ch1=  34,	ch2= 743,	ch3= 581,	ch4=   0,	ch5= 692,	time=1728462916822872,	delta=842,	
seq=162,	ch0= 222,	ch1= 125,	ch2= 850,	ch3= 485,	ch4=   0,	ch5= 674,	time=1728462916823713,	delta=841,	
seq=163,	ch0= 132,	ch1= 225,	ch2= 858,	ch3= 373,	ch4=  23,	ch5= 747,	time=1728462916824555,	delta=842,	
seq=164,	ch0=  53,	ch1= 337,	ch2= 817,	ch3= 277,	ch4=  96,	ch5= 794,	time=1728462916825397,	delta=842,	
