seq=98,	ch0= 637,	ch1=   2,	ch2= 555,	ch3= 473,	ch4= 192,	ch5=   9,	time=1728461439612930,	delta=841,	
seq=99,	ch0= 538,	ch1=   0,	ch2= 670,	ch3= 501,	ch4= 122,	ch5=  36,	time=1728461439613771,	delta=841,	
seq=100,	ch0= 450,	ch1=   0,	ch2= 751,	ch3= 509,	ch4=  68,	ch5=  96,	time=1728461439614613,	delta=842,	
seq=101,	ch0= 342,	ch1=  28,	ch2= 794,	ch3= 506,	ch4=  29,	ch5= 185,	time=1728461439615455,	delta=842,	
seq=102,	ch0= 233,	ch1= 154,	ch2= 842,	ch3= 490,	ch4=   0,	ch5= 253,	time=1728461439616297,	delta=842,	
seq=103,	ch0= 148,	ch1= 161,	ch2= 844,	ch3= 453,	ch4=  23,	ch5= 320,	time=1728461439617139,	delta=842,	
seq=104,	ch0= 151,	ch1= 290,	ch2= 832,	ch3= 386,	ch4=   0,	ch5= 401,	time=1728461439617980,	delta=841,	
seq=105,	ch0=   0,	ch1= 421,	ch2= 762,	ch3= 322,	ch4=   0,	ch5= 441,	time=1728461439618821,	delta=841,	
seq=106,	ch0=   0,	ch1= 546,	ch2= 689,	ch3= 235,	ch4=  13,	ch5= 484,	time=1728461439619662,	delta=841,	
seq=107,	ch0=   0,	ch1= 634,	ch2= 591,	ch3= 151,	ch4=  55,	ch5= 511,	time=1728461439620504,	delta=842,	
seq=108,	ch0=   0,	ch1= 715,	ch2= 481,	ch3=  92,	ch4= 100,	ch5= 520,	time=1728461439621345,	delta=841,	
seq=109,	ch0=  47,	ch1= 772,	ch2= 360,	ch3=  47,	ch4= 162,	ch5= 506,	time=1728461439622187,	delta=842,	
seq=110,	ch0= 119,	ch1= 807,	ch2= 249,	ch3=   4,	ch4= 235,	ch5= 472,	time=1728461439623029,	delta=842,	
seq=111,	ch0= 194,	ch1= 810,	ch2= 154,	ch3=   0,	ch4= 293,	ch5= 424,	time=1728461439623870,	delta=841,	
seq=112,	ch0= 301,	ch1= 781,	ch2=  57,	ch3=   0,	ch4= 349,	ch5= 375,	time=1728461439624709,	delta=839,	
seq=113,	ch0= 421,	ch1= 731,	ch2=   0,	ch3=   0,	ch4= 386,	ch5= 329,	time=1728461439625551,	delta=842,	
seq=114,	ch0= 530,	ch1= 643,	ch2=   0,	ch3=   2,	ch4= 420,	ch5= 180,	time=1728461439626392,	delta=841,	
seq=115,	ch0= 612,	ch1= 449,	ch2=   0,	ch3=  43,	ch4= 521,	ch5= 132,	time=1728461439627233,	delta=841,	
seq=116,	ch0= 714,	ch1= 421,	ch2=   0,	ch3= 107,	ch4= 398,	ch5=  76,	time=1728461439628075,	delta=842,	
seq=117,	ch0= 750,	ch1= 329,	ch2=  54,	ch3= 196,	ch4= 424,	ch5=  31,	time=1728461439628917,	delta=842,	
seq=118,	ch0= 788,	ch1= 234,	ch2= 138,	ch3= 253,	ch4= 399,	ch5=   2,	time=1728461439629758,	delta=841,	
seq=119,	ch0= 784,	ch1= 137,	ch2= 244,	ch3= 322,	ch4= 352,	ch5=   0,	time=1728461439630600,	delta=842,	
seq=120,	ch0= 754,	ch1=  59,	ch2= 357,	ch3= 389,	ch4= 298,	ch5=   0,	time=1728461439631441,	delta=841,	
seq=121,	ch0= 697,	ch1=   5,	ch2= 474,	ch3= 434,	ch4= 231,	ch5=   0,	time=1728461439632283,	delta=842,	
seq=122,	ch0= 626,	ch1=   0,	ch2= 584,	ch3= 480,	ch4= 154,	ch5=   0,	time=1728461439633124,	delta=841,	
seq=123,	ch0= 533,	ch1=   0,	ch2= 686,	ch3= 498,	ch4= 106,	ch5=  66,	time=1728461439633965,	delta=841,	
seq=124,	ch0= 410,	ch1=  13,	ch2= 770,	ch3= 509,	ch4=  58,	ch5= 128,	time=1728461439634807,	delta=842,	
seq=125,	ch0= 314,	ch1=  66,	ch2= 820,	ch3= 508,	ch4=  10,	ch5= 189,	time=1728461439635648,	delta=841,	
seq=126,	ch0= 229,	ch1= 149,	ch2= 792,	ch3= 467,	ch4=   0,	ch5= 314,	time=1728461439636490,	delta=842,	
seq=127,	ch0= 138,	ch1= 322,	ch2= 834,	ch3= 437,	ch4=   0,	ch5= 320,	time=1728461439637331,	delta=841,	
seq=128,	ch0=  43,	ch1= 314,	ch2= 808,	ch3= 369,	ch4=   0,	ch5= 401,	time=1728461439638178,	delta=847,	
seq=129,	ch0=   0,	ch1= 466,	ch2= 750,	ch3= 296,	ch4=   0,	ch5= 458,	time=1728461439639019,	delta=841,	
seq=130,	ch0=   0,	ch1= 562,	ch2= 663,	ch3= 213,	ch4=  26,	ch5= 493,	time=1728461439639860,	delta=841,	
seq=131,	ch0=   0,	ch1= 650,	ch2= 562,	ch3= 146,	ch4=  64,	ch5= 510,	time=1728461439640701,	delta=841,	
seq=132,	ch0=   0,	ch1= 733,	ch2= 459,	ch3=  89,	ch4= 122,	ch5= 513,	time=1728461439641542,	delta=841,	
seq=133,	ch0=  64,	ch1= 774,	ch2= 331,	ch3=  32,	ch4= 181,	ch5= 501,	time=1728461439642384,	delta=842,	
seq=134,	ch0= 148,	ch1= 782,	ch2= 215,	ch3=   0,	ch4= 290,	ch5= 463,	time=1728461439643226,	delta=842,	
seq=135,	ch0= 320,	ch1= 798,	ch2= 114,	ch3=   0,	ch4= 306,	ch5= 421,	time=1728461439644068,	delta=842,	
seq=136,	ch0= 322,	ch1= 770,	ch2=  46,	ch3=   0,	ch4= 351,	ch5= 363,	time=1728461439644909,	delta=841,	
seq=137,	ch0= 450,	ch1= 704,	ch2=   0,	ch3=   0,	ch4= 396,	ch5= 276,	time=1728461439645750,	delta=841,	
seq=138,	ch0= 558,	ch1= 633,	ch2=   0,	ch3=   0,	ch4= 410,	ch5= 287,	time=1728461439646591,	delta=841,	
seq=139,	ch0= 642,	ch1= 506,	ch2=   0,	ch3=  50,	ch4= 417,	ch5=  69,	time=1728461439647433,	delta=842,	
seq=140,	ch0= 708,	ch1= 301,	ch2=   2,	ch3= 114,	ch4= 503,	ch5=  52,	time=1728461439648275,	delta=842,	
seq=141,	ch0= 776,	ch1= 320,	ch2=  82,	ch3= 197,	ch4= 412,	ch5=  20,	time=1728461439649117,	delta=842,	
seq=142,	ch0= 786,	ch1= 211,	ch2= 175,	ch3= 280,	ch4= 385,	ch5=   0,	time=1728461439649959,	delta=842,	
seq=143,	ch0= 781,	ch1= 117,	ch2= 268,	ch3= 349,	ch4= 341,	ch5=   0,	time=1728461439650800,	delta=841,	
seq=144,	ch0= 736,	ch1=  42,	ch2= 381,	ch3= 405,	ch4= 282,	ch5=   0,	time=1728461439652529,	delta=1729,	
seq=145,	ch0= 673,	ch1=   0,	ch2= 506,	ch3= 453,	ch4= 218,	ch5=   0,	time=1728461439653370,	delta=841,	
seq=146,	ch0= 609,	ch1=   0,	ch2= 604,	ch3= 490,	ch4= 151,	ch5=  21,	time=1728461439654211,	delta=841,	
seq=147,	ch0= 493,	ch1=   0,	ch2= 704,	ch3= 509,	ch4=  78,	ch5=  66,	time=1728461439655053,	delta=842,	
seq=148,	ch0= 373,	ch1=   2,	ch2= 783,	ch3= 516,	ch4=  37,	ch5= 149,	time=1728461439655894,	delta=841,	
seq=149,	ch0= 286,	ch1=  96,	ch2= 834,	ch3= 488,	ch4=  10,	ch5= 226,	time=1728461439656736,	delta=842,	
seq=150,	ch0= 175,	ch1= 192,	ch2= 909,	ch3= 449,	ch4=   0,	ch5= 349,	time=1728461439657578,	delta=842,	
seq=151,	ch0= 136,	ch1= 269,	ch2= 810,	ch3= 410,	ch4=   0,	ch5= 312,	time=1728461439658420,	delta=842,	
seq=152,	ch0=  18,	ch1= 290,	ch2= 793,	ch3= 353,	ch4=  42,	ch5= 421,	time=1728461439659262,	delta=842,	
seq=153,	ch0=   0,	ch1= 490,	ch2= 732,	ch3= 274,	ch4=   5,	ch5= 466,	time=1728461439660103,	delta=841,	
seq=154,	ch0=   0,	ch1= 591,	ch2= 640,	ch3= 194,	ch4=  37,	ch5= 493,	time=1728461439660944,	delta=841,	
seq=155,	ch0=   0,	ch1= 683,	ch2= 538,	ch3= 133,	ch4=  82,	ch5= 510,	time=1728461439661785,	delta=841,	
seq=156,	ch0=  10,	ch1= 746,	ch2= 424,	ch3=  69,	ch4= 129,	ch5= 503,	time=1728461439662627,	delta=842,	
seq=157,	ch0=  74,	ch1= 786,	ch2= 298,	ch3=  25,	ch4= 203,	ch5= 495,	time=1728461439663469,	delta=842,	
seq=158,	ch0= 168,	ch1= 786,	ch2= 187,	ch3=   0,	ch4= 322,	ch5= 457,	time=1728461439664311,	delta=842,	
seq=159,	ch0= 357,	ch1= 783,	ch2=  97,	ch3=   0,	ch4= 309,	ch5= 395,	time=1728461439665153,	delta=842,	
seq=160,	ch0= 357,	ch1= 749,	ch2=  21,	ch3=  16,	ch4= 370,	ch5= 337,	time=1728461439665126,	delta=18446744073709551589,	
seq=161,	ch0= 472,	ch1= 694,	ch2=   0,	ch3=   0,	ch4= 406,	ch5= 262,	time=1728461439665967,	delta=841,	
seq=162,	ch0= 568,	ch1= 610,	ch2=  68,	ch3=  21,	ch4= 471,	ch5= 199,	time=1728461439666808,	delta=841,	
seq=163,	ch0= 698,	ch1= 525,	ch2=   0,	ch3=  68,	ch4= 466,	ch5= 165,	time=1728461439667649,	delta=841,	
seq=164,	ch0= 784,	ch1= 466,	ch2=  26,	ch3= 144,	ch4= 421,	ch5=  34,	time=1728461439668491,	delta=842,	
seq=165,	ch0= 777,	ch1= 285,	ch2=  97,	ch3= 224,	ch4= 405,	ch5=  13,	time=1728461439669333,	delta=842,	
seq=166,	ch0= 794,	ch1= 194,	ch2= 192,	ch3= 296,	ch4= 372,	ch5=   0,	time=1728461439670175,	delta=842,	
seq=167,	ch0= 772,	ch1=  96,	ch2= 297,	ch3= 362,	ch4= 330,	ch5=   0,	time=1728461439671016,	delta=841,	
seq=168,	ch0= 736,	ch1=  26,	ch2= 405,	ch3= 424,	ch4= 276,	ch5=   0,	time=1728461439671858,	delta=842,	
seq=169,	ch0= 657,	ch1=   0,	ch2= 530,	ch3= 462,	ch4= 197,	ch5=   0,	time=1728461439672699,	delta=841,	
seq=170,	ch0= 576,	ch1=   0,	ch2= 629,	ch3= 501,	ch4= 136,	ch5=  17,	time=1728461439673540,	delta=841,	
seq=171,	ch0= 474,	ch1=   0,	ch2= 719,	ch3= 514,	ch4=  85,	ch5=  74,	time=1728461439674382,	delta=842,	
seq=172,	ch0= 369,	ch1=  34,	ch2= 799,	ch3= 507,	ch4=  39,	ch5= 154,	time=1728461439675224,	delta=842,	
seq=173,	ch0= 252,	ch1=  92,	ch2= 837,	ch3= 485,	ch4=   1,	ch5= 247,	time=1728461439676066,	delta=842,	
seq=174,	ch0= 161,	ch1= 205,	ch2= 937,	ch3= 444,	ch4=  20,	ch5= 322,	time=1728461439676908,	delta=842,	
seq=175,	ch0= 124,	ch1= 320,	ch2= 770,	ch3= 389,	ch4=  18,	ch5= 430,	time=1728461439677750,	delta=842,	
seq=176,	ch0=  13,	ch1= 481,	ch2= 772,	ch3= 340,	ch4=   0,	ch5= 418,	time=1728461439678599,	delta=849,	
seq=177,	ch0=   0,	ch1= 513,	ch2= 705,	ch3= 253,	ch4=   8,	ch5= 480,	time=1728461439679440,	delta=841,	
seq=178,	ch0=   0,	ch1= 616,	ch2= 622,	ch3= 169,	ch4=  41,	ch5= 511,	time=1728461439680281,	delta=841,	
seq=179,	ch0=   0,	ch1= 696,	ch2= 516,	ch3= 105,	ch4=  85,	ch5= 517,	time=1728461439681122,	delta=841,	
seq=180,	ch0=  34,	ch1= 759,	ch2= 392,	ch3=  58,	ch4= 149,	ch5= 508,	time=1728461439681964,	delta=842,	
seq=181,	ch0=  98,	ch1= 813,	ch2= 282,	ch3=  15,	ch4= 218,	ch5= 490,	time=1728461439682806,	delta=842,	
seq=182,	ch0= 183,	ch1= 881,	ch2= 165,	ch3=   0,	ch4= 280,	ch5= 424,	time=1728461439683648,	delta=842,	
seq=183,	ch0= 296,	ch1= 770,	ch2=  81,	ch3=   0,	ch4= 381,	ch5= 389,	time=1728461439684489,	delta=841,	
seq=184,	ch0= 437,	ch1= 736,	ch2=  17,	ch3=   0,	ch4= 372,	ch5= 320,	time=1728461439685331,	delta=842,	
seq=185,	ch0= 466,	ch1= 654,	ch2=   0,	ch3=  25,	ch4= 401,	ch5= 238,	time=1728461439686172,	delta=841,	
seq=186,	ch0= 581,	ch1= 626,	ch2=   5,	ch3=  13,	ch4= 428,	ch5= 152,	time=1728461439687013,	delta=841,	
seq=187,	ch0= 669,	ch1= 490,	ch2=   0,	ch3=  82,	ch4= 420,	ch5= 192,	time=1728461439687855,	delta=842,	
seq=188,	ch0= 746,	ch1= 369,	ch2=  26,	ch3= 164,	ch4= 437,	ch5=  43,	time=1728461439688697,	delta=842,	
seq=189,	ch0= 780,	ch1= 265,	ch2= 114,	ch3= 238,	ch4= 407,	ch5=   9,	time=1728461439689539,	delta=842,	
seq=190,	ch0= 789,	ch1= 157,	ch2= 204,	ch3= 305,	ch4= 372,	ch5=   0,	time=1728461439690380,	delta=841,	
seq=191,	ch0= 767,	ch1=  74,	ch2= 322,	ch3= 373,	ch4= 310,	ch5=   0,	time=1728461439691221,	delta=841,	
seq=192,	ch0= 717,	ch1=   8,	ch2= 434,	ch3= 427,	ch4= 250,	ch5=   0,	time=1728461439692072,	delta=851,	
seq=193,	ch0= 618,	ch1=   0,	ch2= 555,	ch3= 468,	ch4= 181,	ch5=   8,	time=1728461439692913,	delta=841,	
seq=194,	ch0= 564,	ch1=   0,	ch2= 657,	ch3= 490,	ch4= 116,	ch5=  33,	time=1728461439693754,	delta=841,	
seq=195,	ch0= 458,	ch1=   0,	ch2= 738,	ch3= 514,	ch4=  64,	ch5=  93,	time=1728461439694596,	delta=842,	
