seq=75,	ch0= 960,	ch1=   0,	ch2=1479,	ch3= 822,	ch4=  28,	ch5= 337,	time=1728463219946398,	delta=842,	
seq=76,	ch0= 761,	ch1=  58,	ch2=1619,	ch3= 773,	ch4=   0,	ch5= 457,	time=1728463219947240,	delta=842,	
seq=77,	ch0= 541,	ch1= 196,	ch2=1701,	ch3= 690,	ch4=   0,	ch5= 562,	time=1728463219948082,	delta=842,	
seq=78,	ch0= 358,	ch1= 401,	ch2=1728,	ch3= 586,	ch4=   0,	ch5= 663,	time=1728463219948924,	delta=842,	
seq=79,	ch0= 184,	ch1= 603,	ch2=1710,	ch3= 480,	ch4=   0,	ch5= 754,	time=1728463219949766,	delta=842,	
seq=80,	ch0=  29,	ch1= 815,	ch2=1575,	ch3= 426,	ch4=  48,	ch5= 820,	time=1728463219950521,	delta=755,	
seq=81,	ch0=   0,	ch1=1032,	ch2=1491,	ch3= 287,	ch4= 121,	ch5= 864,	time=1728463219951363,	delta=842,	
seq=82,	ch0=   0,	ch1=1240,	ch2=1252,	ch3=  98,	ch4= 213,	ch5= 840,	time=1728463219952205,	delta=842,	
seq=83,	ch0=   0,	ch1=1396,	ch2=1029,	ch3=  71,	ch4= 309,	ch5= 808,	time=1728463219953047,	delta=842,	
seq=84,	ch0=  79,	ch1=1538,	ch2= 812,	ch3=  11,	ch4= 408,	ch5= 755,	time=1728463219953889,	delta=842,	
seq=85,	ch0= 224,	ch1=1615,	ch2= 576,	ch3=   0,	ch4= 495,	ch5= 668,	time=1728463219954731,	delta=842,	
seq=86,	ch0= 394,	ch1=1643,	ch2= 363,	ch3=   0,	ch4= 581,	ch5= 576,	time=1728463219955573,	delta=842,	
seq=87,	ch0= 610,	ch1=1590,	ch2= 178,	ch3=   0,	ch4= 641,	ch5= 453,	time=1728463219956415,	delta=842,	
seq=88,	ch0= 825,	ch1=1504,	ch2=  33,	ch3=  40,	ch4= 679,	ch5= 325,	time=1728463219957257,	delta=842,	
seq=89,	ch0=1034,	ch1=1439,	ch2=   0,	ch3= 133,	ch4= 688,	ch5= 201,	time=1728463219958099,	delta=842,	
seq=90,	ch0=1216,	ch1=1213,	ch2=   5,	ch3= 234,	ch4= 681,	ch5= 113,	time=1728463219958941,	delta=842,	
seq=91,	ch0=1383,	ch1= 985,	ch2=   0,	ch3= 347,	ch4= 660,	ch5=  36,	time=1728463219959783,	delta=842,	
seq=92,	ch0=1490,	ch1= 678,	ch2= 100,	ch3= 480,	ch4= 640,	ch5=   0,	time=1728463219960625,	delta=842,	
seq=93,	ch0=1607,	ch1= 495,	ch2= 261,	ch3= 576,	ch4= 448,	ch5=   0,	time=1728463219961467,	delta=842,	
seq=94,	ch0=1704,	ch1= 320,	ch2= 471,	ch3= 689,	ch4= 402,	ch5=   0,	time=1728463219962309,	delta=842,	
seq=95,	ch0=1549,	ch1= 164,	ch2= 672,	ch3= 748,	ch4= 338,	ch5=   0,	time=1728463219963151,	delta=842,	
seq=96,	ch0=1447,	ch1=  37,	ch2= 905,	ch3= 796,	ch4= 237,	ch5=  64,	time=1728463219963980,	delta=829,	
seq=97,	ch0=1303,	ch1=   0,	ch2=1134,	ch3= 834,	ch4= 154,	ch5= 136,	time=1728463219964822,	delta=842,	
seq=98,	ch0=1120,	ch1=   0,	ch2=1339,	ch3= 843,	ch4=  85,	ch5= 250,	time=1728463219965664,	delta=842,	
seq=99,	ch0= 914,	ch1=   0,	ch2=1512,	ch3= 819,	ch4=  21,	ch5= 368,	time=1728463219966505,	delta=841,	
seq=100,	ch0= 693,	ch1= 116,	ch2=1648,	ch3= 741,	ch4=   0,	ch5= 485,	time=1728463219967347,	delta=842,	
seq=101,	ch0= 485,	ch1= 249,	ch2=1712,	ch3= 664,	ch4=   0,	ch5= 595,	time=1728463219968189,	delta=842,	
seq=102,	ch0= 295,	ch1= 457,	ch2=1735,	ch3= 565,	ch4=   0,	ch5= 704,	time=1728463219969031,	delta=842,	
seq=103,	ch0= 138,	ch1= 660,	ch2=1648,	ch3= 450,	ch4=  26,	ch5= 802,	time=1728463219969873,	delta=842,	
seq=104,	ch0=  40,	ch1= 864,	ch2=1530,	ch3= 330,	ch4=  54,	ch5= 748,	time=1728463219970715,	delta=842,	
seq=105,	ch0=   0,	ch1=1190,	ch2=1382,	ch3= 242,	ch4= 165,	ch5= 800,	time=1728463219971557,	delta=842,	
seq=106,	ch0=   0,	ch1=1326,	ch2=1192,	ch3= 130,	ch4= 243,	ch5= 820,	time=1728463219972399,	delta=842,	
seq=107,	ch0=   0,	ch1=1447,	ch2= 975,	ch3=  50,	ch4= 341,	ch5= 809,	time=1728463219973241,	delta=842,	
seq=108,	ch0= 117,	ch1=1562,	ch2= 746,	ch3=   1,	ch4= 433,	ch5= 736,	time=1728463219974083,	delta=842,	
seq=109,	ch0= 258,	ch1=1630,	ch2= 526,	ch3=   0,	ch4= 521,	ch5= 642,	time=1728463219974925,	delta=842,	
seq=110,	ch0= 450,	ch1=1627,	ch2= 320,	ch3=   0,	ch4= 596,	ch5= 538,	time=1728463219975767,	delta=842,	
seq=111,	ch0= 657,	ch1=1578,	ch2= 133,	ch3=   0,	ch4= 651,	ch5= 433,	time=1728463219976609,	delta=842,	
seq=112,	ch0= 847,	ch1=1477,	ch2=  23,	ch3=  96,	ch4= 670,	ch5= 309,	time=1728463219977475,	delta=866,	
seq=113,	ch0=1063,	ch1=1320,	ch2=   0,	ch3= 149,	ch4= 693,	ch5= 193,	time=1728463219978317,	delta=842,	
seq=114,	ch0=1251,	ch1=1121,	ch2=   0,	ch3= 253,	ch4= 681,	ch5=  98,	time=1728463219979159,	delta=842,	
seq=115,	ch0=1413,	ch1= 953,	ch2=  14,	ch3= 361,	ch4= 653,	ch5=  32,	time=1728463219980001,	delta=842,	
seq=116,	ch0=1525,	ch1= 689,	ch2= 248,	ch3= 487,	ch4= 613,	ch5=   2,	time=1728463219980843,	delta=842,	
seq=117,	ch0=1592,	ch1= 530,	ch2= 382,	ch3= 585,	ch4= 552,	ch5=   4,	time=1728463219981685,	delta=842,	
seq=118,	ch0=1600,	ch1= 299,	ch2= 463,	ch3= 694,	ch4= 421,	ch5=  44,	time=1728463219982527,	delta=842,	
seq=119,	ch0=1530,	ch1= 138,	ch2= 728,	ch3= 760,	ch4= 320,	ch5=  14,	time=1728463219983369,	delta=842,	
seq=120,	ch0=1418,	ch1=  21,	ch2= 964,	ch3= 809,	ch4= 210,	ch5=  78,	time=1728463219984211,	delta=842,	
seq=121,	ch0=1258,	ch1=   2,	ch2=1195,	ch3= 840,	ch4= 136,	ch5= 170,	time=1728463219985053,	delta=842,	
seq=122,	ch0=1066,	ch1=   0,	ch2=1386,	ch3= 839,	ch4=  64,	ch5= 288,	time=1728463219985895,	delta=842,	
seq=123,	ch0= 856,	ch1=  22,	ch2=1544,	ch3= 804,	ch4=  13,	ch5= 398,	time=1728463219986737,	delta=842,	
seq=124,	ch0= 645,	ch1= 125,	ch2=1654,	ch3= 744,	ch4=   0,	ch5= 503,	time=1728463219987579,	delta=842,	
seq=125,	ch0= 437,	ch1= 282,	ch2=1716,	ch3= 648,	ch4=   0,	ch5= 613,	time=1728463219988421,	delta=842,	
seq=126,	ch0= 257,	ch1= 491,	ch2=1736,	ch3= 537,	ch4=   0,	ch5= 715,	time=1728463219989263,	delta=842,	
seq=127,	ch0= 165,	ch1= 704,	ch2=1642,	ch3= 410,	ch4=  14,	ch5= 782,	time=1728463219990105,	delta=842,	
seq=128,	ch0=   0,	ch1= 927,	ch2=1545,	ch3= 352,	ch4=  81,	ch5= 861,	time=1728463219990933,	delta=828,	
seq=129,	ch0=   0,	ch1=1151,	ch2=1367,	ch3= 171,	ch4= 170,	ch5= 834,	time=1728463219991775,	delta=842,	
seq=130,	ch0=   0,	ch1=1314,	ch2=1144,	ch3= 105,	ch4= 266,	ch5= 832,	time=1728463219992617,	delta=842,	
seq=131,	ch0=  25,	ch1=1472,	ch2= 916,	ch3=  34,	ch4= 368,	ch5= 789,	time=1728463219993459,	delta=842,	
seq=132,	ch0= 148,	ch1=1584,	ch2= 688,	ch3=   0,	ch4= 449,	ch5= 714,	time=1728463219994301,	delta=842,	
seq=133,	ch0= 303,	ch1=1636,	ch2= 467,	ch3=   0,	ch4= 540,	ch5= 609,	time=1728463219995143,	delta=842,	
seq=134,	ch0= 507,	ch1=1620,	ch2= 266,	ch3=   0,	ch4= 615,	ch5= 503,	time=1728463219995984,	delta=841,	
seq=135,	ch0= 711,	ch1=1565,	ch2= 103,	ch3=  17,	ch4= 661,	ch5= 410,	time=1728463219996826,	delta=842,	
seq=136,	ch0= 927,	ch1=1436,	ch2=   0,	ch3=  79,	ch4= 679,	ch5= 250,	time=1728463219997668,	delta=842,	
seq=137,	ch0=1127,	ch1=1344,	ch2=   0,	ch3= 178,	ch4= 692,	ch5= 149,	time=1728463219998510,	delta=842,	
seq=138,	ch0=1313,	ch1=1131,	ch2=   0,	ch3= 287,	ch4= 677,	ch5=  85,	time=1728463219999352,	delta=842,	
seq=139,	ch0=1482,	ch1= 759,	ch2=  31,	ch3= 385,	ch4= 714,	ch5=   2,	time=1728463220000194,	delta=842,	
