seq=85,	ch0=   0,	ch1= 469,	ch2= 741,	ch3= 178,	ch4= 121,	ch5= 677,	time=1728462796577733,	delta=842,	
seq=86,	ch0=   0,	ch1= 576,	ch2= 654,	ch3=  93,	ch4= 192,	ch5= 668,	time=1728462796578574,	delta=841,	
seq=87,	ch0=   0,	ch1= 663,	ch2= 596,	ch3=  42,	ch4= 266,	ch5= 633,	time=1728462796579415,	delta=841,	
seq=88,	ch0=   4,	ch1= 741,	ch2= 495,	ch3=   0,	ch4= 343,	ch5= 582,	time=1728462796580256,	delta=841,	
seq=89,	ch0=  57,	ch1= 805,	ch2= 373,	ch3=   0,	ch4= 402,	ch5= 617,	time=1728462796581098,	delta=842,	
seq=90,	ch0= 158,	ch1= 801,	ch2= 143,	ch3=   0,	ch4= 513,	ch5= 490,	time=1728462796581940,	delta=842,	
seq=91,	ch0= 293,	ch1= 813,	ch2=  77,	ch3=   0,	ch4= 517,	ch5= 266,	time=1728462796582782,	delta=842,	
seq=92,	ch0= 353,	ch1= 751,	ch2=  34,	ch3=  42,	ch4= 554,	ch5= 254,	time=1728462796583623,	delta=841,	
seq=93,	ch0= 471,	ch1= 697,	ch2=   0,	ch3= 107,	ch4= 564,	ch5= 154,	time=1728462796584465,	delta=842,	
seq=94,	ch0= 569,	ch1= 617,	ch2=   0,	ch3= 186,	ch4= 562,	ch5=  85,	time=1728462796585306,	delta=841,	
seq=95,	ch0= 648,	ch1= 522,	ch2=   0,	ch3= 276,	ch4= 526,	ch5=  20,	time=1728462796586147,	delta=841,	
seq=96,	ch0= 723,	ch1= 421,	ch2=  20,	ch3= 366,	ch4= 480,	ch5=   0,	time=1728462796586991,	delta=844,	
seq=97,	ch0= 786,	ch1= 292,	ch2=  82,	ch3= 457,	ch4= 413,	ch5=   0,	time=1728462796587832,	delta=841,	
seq=98,	ch0= 786,	ch1= 185,	ch2= 180,	ch3= 525,	ch4= 325,	ch5=   0,	time=1728462796588674,	delta=842,	
seq=99,	ch0= 779,	ch1= 109,	ch2= 279,	ch3= 591,	ch4= 271,	ch5=   9,	time=1728462796589515,	delta=841,	
seq=100,	ch0= 711,	ch1=  30,	ch2= 400,	ch3= 639,	ch4= 185,	ch5=  66,	time=1728462796590357,	delta=842,	
seq=101,	ch0= 591,	ch1=   0,	ch2= 558,	ch3= 700,	ch4= 101,	ch5= 148,	time=1728462796591199,	delta=842,	
seq=102,	ch0= 546,	ch1=   0,	ch2= 626,	ch3= 586,	ch4=  53,	ch5= 216,	time=1728462796592040,	delta=841,	
seq=103,	ch0= 463,	ch1=   0,	ch2= 712,	ch3= 585,	ch4=   9,	ch5= 341,	time=1728462796592882,	delta=842,	
seq=104,	ch0= 385,	ch1=  18,	ch2= 785,	ch3= 576,	ch4=   0,	ch5= 397,	time=1728462796593723,	delta=841,	
seq=105,	ch0= 274,	ch1=  94,	ch2= 832,	ch3= 502,	ch4=   0,	ch5= 490,	time=1728462796594564,	delta=841,	
seq=106,	ch0= 177,	ch1= 185,	ch2= 850,	ch3= 420,	ch4=   0,	ch5= 568,	time=1728462796595406,	delta=842,	
seq=107,	ch0=  85,	ch1= 285,	ch2= 837,	ch3= 327,	ch4=  10,	ch5= 613,	time=1728462796596248,	delta=842,	
seq=108,	ch0=  17,	ch1= 393,	ch2= 797,	ch3= 246,	ch4=  81,	ch5= 651,	time=1728462796597090,	delta=842,	
seq=109,	ch0=   0,	ch1= 501,	ch2= 706,	ch3= 158,	ch4= 144,	ch5= 719,	time=1728462796597931,	delta=841,	
seq=110,	ch0=   0,	ch1= 591,	ch2= 605,	ch3=  84,	ch4= 212,	ch5= 637,	time=1728462796598772,	delta=841,	
seq=111,	ch0=   0,	ch1= 680,	ch2= 501,	ch3=  30,	ch4= 297,	ch5= 608,	time=1728462796599613,	delta=841,	
seq=112,	ch0=  18,	ch1= 812,	ch2= 389,	ch3=   0,	ch4= 362,	ch5= 562,	time=1728462796600464,	delta=851,	
seq=113,	ch0= 130,	ch1= 854,	ch2= 272,	ch3=   0,	ch4= 424,	ch5= 462,	time=1728462796601305,	delta=841,	
seq=114,	ch0= 170,	ch1= 724,	ch2= 177,	ch3=   0,	ch4= 542,	ch5= 382,	time=1728462796602147,	delta=842,	
seq=115,	ch0= 293,	ch1= 746,	ch2=  82,	ch3=   1,	ch4= 455,	ch5= 309,	time=1728462796602989,	delta=842,	
seq=116,	ch0= 386,	ch1= 754,	ch2=  18,	ch3=  59,	ch4= 565,	ch5= 244,	time=1728462796603831,	delta=842,	
seq=117,	ch0= 497,	ch1= 672,	ch2=   0,	ch3= 136,	ch4= 577,	ch5= 142,	time=1728462796604672,	delta=841,	
seq=118,	ch0= 597,	ch1= 591,	ch2=   0,	ch3= 210,	ch4= 567,	ch5=  74,	time=1728462796605513,	delta=841,	
seq=119,	ch0= 672,	ch1= 489,	ch2=   0,	ch3= 297,	ch4= 511,	ch5=  13,	time=1728462796606354,	delta=841,	
seq=120,	ch0= 743,	ch1= 383,	ch2=  34,	ch3= 392,	ch4= 459,	ch5=   0,	time=1728462796607196,	delta=842,	
seq=121,	ch0= 767,	ch1= 261,	ch2= 116,	ch3= 460,	ch4= 394,	ch5=   0,	time=1728462796608038,	delta=842,	
