seq=58,	ch0=   0,	ch1= 629,	ch2= 581,	ch3=   0,	ch4= 250,	ch5= 215,	time=1728462666189763,	delta=840,	
seq=59,	ch0=   0,	ch1= 705,	ch2= 468,	ch3=   0,	ch4= 274,	ch5= 161,	time=1728462666190604,	delta=841,	
seq=60,	ch0=  46,	ch1= 782,	ch2= 366,	ch3=  17,	ch4= 290,	ch5= 117,	time=1728462666191445,	delta=841,	
seq=61,	ch0= 119,	ch1= 810,	ch2= 253,	ch3=  47,	ch4= 293,	ch5=  73,	time=1728462666192286,	delta=841,	
seq=62,	ch0= 225,	ch1= 811,	ch2= 148,	ch3= 101,	ch4= 289,	ch5=  27,	time=1728462666193127,	delta=841,	
seq=63,	ch0= 320,	ch1= 789,	ch2=  47,	ch3= 151,	ch4= 276,	ch5=   2,	time=1728462666193969,	delta=842,	
seq=64,	ch0= 426,	ch1= 725,	ch2=   0,	ch3= 192,	ch4= 270,	ch5=  42,	time=1728462666194718,	delta=749,	
seq=65,	ch0= 556,	ch1= 663,	ch2=   0,	ch3= 229,	ch4= 232,	ch5=  26,	time=1728462666195558,	delta=840,	
seq=66,	ch0= 642,	ch1= 576,	ch2=   0,	ch3= 264,	ch4= 192,	ch5=  32,	time=1728462666196399,	delta=841,	
seq=67,	ch0= 697,	ch1= 453,	ch2=   0,	ch3= 298,	ch4= 123,	ch5=   0,	time=1728462666197239,	delta=840,	
seq=68,	ch0= 754,	ch1= 346,	ch2=  64,	ch3= 327,	ch4=  82,	ch5=  25,	time=1728462666198080,	delta=841,	
seq=69,	ch0= 778,	ch1= 229,	ch2= 149,	ch3= 325,	ch4=  42,	ch5=  66,	time=1728462666198921,	delta=841,	
seq=70,	ch0= 782,	ch1= 132,	ch2= 249,	ch3= 325,	ch4=  18,	ch5= 112,	time=1728462666199762,	delta=841,	
seq=71,	ch0= 754,	ch1=  52,	ch2= 346,	ch3= 320,	ch4=   0,	ch5= 166,	time=1728462666200603,	delta=841,	
seq=72,	ch0= 696,	ch1=   0,	ch2= 463,	ch3= 282,	ch4=  46,	ch5= 210,	time=1728462666201444,	delta=841,	
seq=73,	ch0= 624,	ch1=   0,	ch2= 570,	ch3= 253,	ch4=  40,	ch5= 244,	time=1728462666202285,	delta=841,	
seq=74,	ch0= 530,	ch1=   0,	ch2= 670,	ch3= 207,	ch4=  30,	ch5= 284,	time=1728462666203125,	delta=840,	
seq=75,	ch0= 415,	ch1=   0,	ch2= 757,	ch3= 155,	ch4=  23,	ch5= 314,	time=1728462666203966,	delta=841,	
seq=76,	ch0= 329,	ch1=   0,	ch2= 800,	ch3= 121,	ch4=  69,	ch5= 331,	time=1728462666204807,	delta=841,	
seq=77,	ch0= 222,	ch1= 113,	ch2= 850,	ch3=  46,	ch4=   1,	ch5= 340,	time=1728462666205649,	delta=842,	
seq=78,	ch0= 252,	ch1= 232,	ch2= 906,	ch3=  49,	ch4=  68,	ch5= 330,	time=1728462666206490,	delta=841,	
seq=79,	ch0=  34,	ch1= 346,	ch2= 804,	ch3=   6,	ch4= 150,	ch5= 313,	time=1728462666207331,	delta=841,	
seq=80,	ch0=   0,	ch1= 463,	ch2= 749,	ch3=   0,	ch4= 192,	ch5= 292,	time=1728462666208249,	delta=918,	
seq=81,	ch0=   0,	ch1= 562,	ch2= 668,	ch3=   0,	ch4= 226,	ch5= 242,	time=1728462666209089,	delta=840,	
seq=82,	ch0=   0,	ch1= 658,	ch2= 562,	ch3=   0,	ch4= 265,	ch5= 201,	time=1728462666209930,	delta=841,	
seq=83,	ch0=   0,	ch1= 727,	ch2= 451,	ch3=   1,	ch4= 276,	ch5= 142,	time=1728462666210770,	delta=840,	
seq=84,	ch0=  34,	ch1= 783,	ch2= 341,	ch3=  37,	ch4= 292,	ch5= 113,	time=1728462666211611,	delta=841,	
seq=85,	ch0= 121,	ch1= 801,	ch2= 229,	ch3=  50,	ch4= 289,	ch5=  56,	time=1728462666212452,	delta=841,	
seq=86,	ch0= 226,	ch1= 802,	ch2= 119,	ch3= 109,	ch4= 290,	ch5=  29,	time=1728462666213294,	delta=842,	
seq=87,	ch0= 350,	ch1= 776,	ch2=  37,	ch3= 157,	ch4= 278,	ch5=   1,	time=1728462666214135,	delta=841,	
seq=88,	ch0= 425,	ch1= 725,	ch2=   0,	ch3= 180,	ch4= 237,	ch5=   0,	time=1728462666214976,	delta=841,	
seq=89,	ch0= 530,	ch1= 619,	ch2=   0,	ch3= 225,	ch4= 207,	ch5=   0,	time=1728462666215817,	delta=841,	
seq=90,	ch0= 640,	ch1= 517,	ch2=  68,	ch3= 261,	ch4= 180,	ch5=   0,	time=1728462666216658,	delta=841,	
