seq=129,	ch0= 660,	ch1= 599,	ch2=   3,	ch3= 322,	ch4= 490,	ch5=   9,	time=1728462895532590,	delta=841,	
seq=130,	ch0= 706,	ch1= 510,	ch2=   0,	ch3= 405,	ch4= 437,	ch5=   0,	time=1728462895533431,	delta=841,	
seq=131,	ch0= 706,	ch1= 394,	ch2=  34,	ch3= 517,	ch4= 373,	ch5=   0,	time=1728462895534272,	delta=841,	
seq=132,	ch0= 746,	ch1= 274,	ch2=  93,	ch3= 578,	ch4= 293,	ch5=   0,	time=1728462895535114,	delta=842,	
seq=133,	ch0= 725,	ch1= 183,	ch2= 178,	ch3= 545,	ch4= 221,	ch5=  11,	time=1728462895535956,	delta=842,	
seq=134,	ch0= 738,	ch1= 154,	ch2= 314,	ch3= 619,	ch4= 158,	ch5=  78,	time=1728462895536798,	delta=842,	
seq=135,	ch0= 712,	ch1=  20,	ch2= 500,	ch3= 665,	ch4= 106,	ch5= 162,	time=1728462895537640,	delta=842,	
seq=136,	ch0= 666,	ch1=   0,	ch2= 523,	ch3= 661,	ch4=  50,	ch5= 259,	time=1728462895538482,	delta=842,	
seq=137,	ch0= 576,	ch1=   0,	ch2= 629,	ch3= 619,	ch4=   1,	ch5= 351,	time=1728462895539323,	delta=841,	
seq=138,	ch0= 484,	ch1=   0,	ch2= 723,	ch3= 565,	ch4=   0,	ch5= 437,	time=1728462895540164,	delta=841,	
seq=139,	ch0= 370,	ch1=  30,	ch2= 795,	ch3= 470,	ch4=   0,	ch5= 522,	time=1728462895541006,	delta=842,	
seq=140,	ch0= 266,	ch1= 100,	ch2= 839,	ch3= 381,	ch4=   0,	ch5= 589,	time=1728462895541847,	delta=841,	
seq=141,	ch0= 162,	ch1= 201,	ch2= 858,	ch3= 300,	ch4=  37,	ch5= 644,	time=1728462895542689,	delta=842,	
seq=142,	ch0=  74,	ch1= 290,	ch2= 837,	ch3= 201,	ch4=  96,	ch5= 669,	time=1728462895543531,	delta=842,	
seq=143,	ch0=  10,	ch1= 394,	ch2= 777,	ch3= 139,	ch4= 165,	ch5= 678,	time=1728462895544373,	delta=842,	
seq=144,	ch0=   0,	ch1= 482,	ch2= 705,	ch3=  75,	ch4= 209,	ch5= 661,	time=1728462895545216,	delta=843,	
seq=145,	ch0=  82,	ch1= 584,	ch2= 656,	ch3=  25,	ch4= 277,	ch5= 617,	time=1728462895546057,	delta=841,	
seq=146,	ch0=  57,	ch1= 681,	ch2= 527,	ch3=   0,	ch4= 357,	ch5= 548,	time=1728462895546898,	delta=841,	
seq=147,	ch0=   0,	ch1= 753,	ch2= 377,	ch3=  18,	ch4= 429,	ch5= 477,	time=1728462895547739,	delta=841,	
seq=148,	ch0= 106,	ch1= 792,	ch2= 270,	ch3=   0,	ch4= 501,	ch5= 379,	time=1728462895548580,	delta=841,	
seq=149,	ch0= 197,	ch1= 813,	ch2= 173,	ch3=  21,	ch4= 543,	ch5= 289,	time=1728462895549422,	delta=842,	
seq=150,	ch0= 286,	ch1= 788,	ch2=  82,	ch3=  89,	ch4= 546,	ch5= 196,	time=1728462895550264,	delta=842,	
seq=151,	ch0= 397,	ch1= 748,	ch2=  13,	ch3= 167,	ch4= 559,	ch5= 122,	time=1728462895551106,	delta=842,	
seq=152,	ch0= 495,	ch1= 673,	ch2=   2,	ch3= 257,	ch4= 537,	ch5=  56,	time=1728462895551948,	delta=842,	
seq=153,	ch0= 591,	ch1= 576,	ch2=   0,	ch3= 345,	ch4= 489,	ch5=  64,	time=1728462895552789,	delta=841,	
seq=154,	ch0= 679,	ch1= 490,	ch2=   0,	ch3= 426,	ch4= 433,	ch5=  69,	time=1728462895553630,	delta=841,	
seq=155,	ch0= 746,	ch1= 372,	ch2=  34,	ch3= 496,	ch4= 363,	ch5=  18,	time=1728462895554471,	delta=841,	
seq=156,	ch0= 810,	ch1= 268,	ch2=  79,	ch3= 564,	ch4= 271,	ch5=   0,	time=1728462895555313,	delta=842,	
seq=157,	ch0= 801,	ch1= 277,	ch2= 199,	ch3= 658,	ch4= 226,	ch5=   0,	time=1728462895556155,	delta=842,	
seq=158,	ch0= 778,	ch1=  13,	ch2= 324,	ch3= 634,	ch4= 226,	ch5=  94,	time=1728462895556997,	delta=842,	
seq=159,	ch0= 718,	ch1=  10,	ch2= 431,	ch3= 663,	ch4=  93,	ch5= 194,	time=1728462895557839,	delta=842,	
seq=160,	ch0= 648,	ch1=   0,	ch2= 551,	ch3= 645,	ch4=  29,	ch5= 291,	time=1728462895558688,	delta=849,	
seq=161,	ch0= 555,	ch1=   0,	ch2= 655,	ch3= 600,	ch4=   0,	ch5= 381,	time=1728462895559529,	delta=841,	
seq=162,	ch0= 455,	ch1=   0,	ch2= 740,	ch3= 542,	ch4=   0,	ch5= 450,	time=1728462895560370,	delta=841,	
seq=163,	ch0= 343,	ch1=  50,	ch2= 805,	ch3= 454,	ch4=   0,	ch5= 536,	time=1728462895561212,	delta=842,	
seq=164,	ch0= 238,	ch1= 109,	ch2= 841,	ch3= 370,	ch4=   0,	ch5= 598,	time=1728462895562053,	delta=841,	
seq=165,	ch0= 141,	ch1= 208,	ch2= 855,	ch3= 279,	ch4=  49,	ch5= 656,	time=1728462895562895,	delta=842,	
seq=166,	ch0=  58,	ch1= 320,	ch2= 826,	ch3= 184,	ch4=  98,	ch5= 690,	time=1728462895563737,	delta=842,	
seq=167,	ch0=   2,	ch1= 433,	ch2= 770,	ch3= 112,	ch4= 169,	ch5= 686,	time=1728462895564579,	delta=842,	
seq=168,	ch0=   0,	ch1= 540,	ch2= 794,	ch3=  50,	ch4= 306,	ch5= 674,	time=1728462895565421,	delta=842,	
seq=169,	ch0=   0,	ch1= 662,	ch2= 661,	ch3=  10,	ch4= 338,	ch5= 609,	time=1728462895566262,	delta=841,	
seq=170,	ch0=   0,	ch1= 704,	ch2= 541,	ch3=   0,	ch4= 367,	ch5= 618,	time=1728462895567103,	delta=841,	
seq=171,	ch0=  41,	ch1= 767,	ch2= 372,	ch3=   0,	ch4= 459,	ch5= 450,	time=1728462895567945,	delta=842,	
seq=172,	ch0= 121,	ch1= 792,	ch2= 249,	ch3=   0,	ch4= 503,	ch5= 359,	time=1728462895568787,	delta=842,	
seq=173,	ch0= 213,	ch1= 810,	ch2= 149,	ch3=  31,	ch4= 529,	ch5= 266,	time=1728462895569629,	delta=842,	
seq=174,	ch0= 312,	ch1= 777,	ch2=  71,	ch3= 107,	ch4= 558,	ch5= 181,	time=1728462895570471,	delta=842,	
seq=175,	ch0= 426,	ch1= 724,	ch2=   0,	ch3= 193,	ch4= 555,	ch5= 101,	time=1728462895571313,	delta=842,	
seq=176,	ch0= 524,	ch1= 637,	ch2=   0,	ch3= 277,	ch4= 539,	ch5=  41,	time=1728462895572161,	delta=848,	
seq=177,	ch0= 618,	ch1= 544,	ch2=   0,	ch3= 360,	ch4= 461,	ch5=   0,	time=1728462895573002,	delta=841,	
seq=178,	ch0= 762,	ch1= 437,	ch2=   0,	ch3= 437,	ch4= 399,	ch5=   0,	time=1728462895573843,	delta=841,	
seq=179,	ch0= 797,	ch1= 341,	ch2=  53,	ch3= 520,	ch4= 333,	ch5=   0,	time=1728462895574685,	delta=842,	
seq=180,	ch0= 650,	ch1= 217,	ch2= 125,	ch3= 653,	ch4= 250,	ch5=  26,	time=1728462895575527,	delta=842,	
seq=181,	ch0= 732,	ch1= 132,	ch2= 242,	ch3= 678,	ch4= 202,	ch5=  34,	time=1728462895576369,	delta=842,	
seq=182,	ch0= 725,	ch1=  50,	ch2= 322,	ch3= 615,	ch4= 130,	ch5= 151,	time=1728462895577211,	delta=842,	
seq=183,	ch0= 702,	ch1=   0,	ch2= 466,	ch3= 661,	ch4=  64,	ch5= 212,	time=1728462895578053,	delta=842,	
seq=184,	ch0= 621,	ch1=   0,	ch2= 576,	ch3= 637,	ch4=  23,	ch5= 297,	time=1728462895578894,	delta=841,	
seq=185,	ch0= 526,	ch1=   0,	ch2= 668,	ch3= 587,	ch4=   0,	ch5= 389,	time=1728462895579735,	delta=841,	
seq=186,	ch0= 424,	ch1=   4,	ch2= 757,	ch3= 522,	ch4=   0,	ch5= 485,	time=1728462895580576,	delta=841,	
seq=187,	ch0= 322,	ch1=  58,	ch2= 815,	ch3= 436,	ch4=   0,	ch5= 553,	time=1728462895581417,	delta=841,	
seq=188,	ch0= 229,	ch1= 154,	ch2= 824,	ch3= 324,	ch4=  21,	ch5= 617,	time=1728462895582258,	delta=841,	
seq=189,	ch0= 125,	ch1= 241,	ch2= 847,	ch3= 248,	ch4=  53,	ch5= 658,	time=1728462895583100,	delta=842,	
seq=190,	ch0=  53,	ch1= 348,	ch2= 804,	ch3= 180,	ch4= 130,	ch5= 674,	time=1728462895583942,	delta=842,	
seq=191,	ch0=   0,	ch1= 424,	ch2= 747,	ch3= 101,	ch4= 201,	ch5= 682,	time=1728462895584784,	delta=842,	
seq=192,	ch0=   0,	ch1= 509,	ch2= 657,	ch3=  28,	ch4= 297,	ch5= 645,	time=1728462895585632,	delta=848,	
seq=193,	ch0=   0,	ch1= 618,	ch2= 550,	ch3=   0,	ch4= 289,	ch5= 580,	time=1728462895586473,	delta=841,	
seq=194,	ch0= 122,	ch1= 708,	ch2= 466,	ch3=   0,	ch4= 370,	ch5= 506,	time=1728462895587314,	delta=841,	
seq=195,	ch0=  64,	ch1= 779,	ch2= 338,	ch3=   0,	ch4= 459,	ch5= 418,	time=1728462895588156,	delta=842,	
